SSF,SST,SSP,SSF|SST,SSF|SSP,SST|SSP,SSF|SST|SSP
,,,,ASV4239,,ASV606
,,,,ASV5142,,ASV4229
,,,,ASV5883,,ASV468
,,,,ASV2778,,ASV1449
,,,,ASV2811,,ASV451
,,,,ASV2853,,ASV652
,,,,ASV2884,,ASV412
,,,,ASV2890,,ASV434
,,,,ASV2904,,ASV836
,,,,ASV2910,,ASV458
,,,,ASV2942,,ASV479
,,,,ASV2943,,ASV566
,,,,ASV2945,,ASV1182
,,,,ASV2992,,ASV506
,,,,ASV3028,,ASV4509
,,,,ASV3042,,ASV454
,,,,ASV3594,,ASV459
,,,,ASV3792,,ASV505
,,,,ASV3807,,ASV557
,,,,ASV3880,,ASV775
,,,,ASV3973,,ASV3869
,,,,ASV3989,,ASV469
,,,,ASV4269,,ASV2124
,,,,ASV4602,,ASV423
,,,,ASV4686,,ASV635
,,,,ASV4835,,ASV1594
,,,,ASV5218,,ASV498
,,,,ASV5273,,ASV480
,,,,ASV2518,,ASV893
,,,,ASV2608,,ASV486
,,,,ASV2671,,ASV510
,,,,ASV2949,,ASV429
,,,,ASV3214,,ASV395
,,,,ASV3227,,ASV415
,,,,ASV3260,,ASV1287
,,,,ASV3266,,ASV4085
,,,,ASV3496,,ASV586
,,,,ASV3568,,ASV428
,,,,ASV3621,,ASV470
,,,,ASV3640,,ASV531
,,,,ASV3902,,ASV828
,,,,ASV3953,,ASV547
,,,,ASV4035,,ASV431
,,,,ASV4213,,ASV600
,,,,ASV4220,,ASV499
,,,,ASV4734,,ASV501
,,,,ASV5015,,ASV387
,,,,ASV5199,,ASV528
,,,,ASV5618,,ASV460
,,,,ASV2287,,ASV621
,,,,ASV2322,,ASV484
,,,,ASV2601,,ASV500
,,,,ASV2760,,ASV517
,,,,ASV2829,,ASV552
,,,,ASV2875,,ASV457
,,,,ASV2903,,ASV474
,,,,ASV2959,,ASV535
,,,,ASV2972,,ASV442
,,,,ASV3009,,ASV545
,,,,ASV3027,,ASV476
,,,,ASV3031,,ASV462
,,,,ASV3108,,ASV543
,,,,ASV3306,,ASV455
,,,,ASV3321,,ASV525
,,,,ASV3464,,ASV483
,,,,ASV3524,,ASV488
,,,,ASV3830,,ASV532
,,,,ASV4052,,ASV1210
,,,,ASV4362,,ASV4277
,,,,ASV4625,,ASV441
,,,,ASV5056,,ASV452
