Family	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
Phycisphaeraceae	0.0914	0.061	0.0648	0.0267	0.0152	0.0267	0.0152	0.00762	0.0229	0.0267	0.00381	0.00381	0	0	0.00762	0.00762	0.00381	0.00762	0.00762	0.0457	0	0	0	0.0267	0.0114	0.0381	0.0381	0.00762	0.0305	0	0.00762	0.221	0.381	0.179	0.16	0.221	0.061	0.267	0.0457	0.4
Rhizobiales_Incertae_Sedis	0.149	0.141	0.0648	0.0686	0.0457	0.0648	0.0648	0.0648	0.0571	0.103	0.0648	0.0914	0.0724	0.122	0.179	0.21	0.156	0.343	0.274	0.0762	0.286	0.293	0.37	0.107	0.0876	0.0991	0.0838	0.0533	0.0571	0.187	0.267	0.328	0.45	0.198	0.168	0.274	0.202	0.316	0.08	0.3
Planococcaceae	4.29	7.34	8.91	10.1	10.1	9.63	8.09	8.61	8	9.09	8.26	5.99	0.385	0.758	0.644	0.503	0.408	0.587	0.533	7.05	0.777	0.705	1.4	9.95	11.6	10.9	13.1	12.9	12.8	2.21	2.41	3.76	0.0571	2.81	1.46	0.061	0.0343	1.68	22.6	0.3
Solirubrobacteraceae	0.0571	0.118	0.107	0.0533	0.0724	0.0724	0.0648	0.0381	0.0267	0.0876	0.019	0.019	0.0114	0.0114	0.00762	0.0114	0.00381	0.00762	0.0114	0.13	0.0114	0.0152	0.0267	0.0914	0.0838	0.107	0.0533	0.0724	0.0762	0	0.00381	0.354	0.0991	0.511	0.347	0.103	0.202	0.183	0.0533	0.3
Xanthomonadales_Incertae_Sedis	0.0991	0.0533	0.061	0.0267	0.0533	0.0495	0.0343	0.019	0.0114	0.0571	0.00762	0.0267	0	0.0152	0.00762	0.00762	0.019	0.0152	0.00381	0.103	0	0	0	0.0571	0.0381	0.0533	0.0876	0.0114	0.0343	0.00762	0.0152	0.0914	0.107	0.13	0.0686	0.0381	0.37	0.061	0.0152	0.3
Intrasporangiaceae	0.251	0.575	0.579	0.415	0.488	0.461	0.366	0.427	0.415	0.419	0.362	0.229	0.225	0.381	0.324	0.331	0.175	0.297	0.312	0.411	0.274	0.278	0.453	0.389	0.423	0.408	0.514	0.37	0.408	0.168	0.21	0.716	0.278	1.34	1.1	0.0724	0.8	0.309	0.366	0.3
Nitrospiraceae	0.164	0.103	0.0914	0.0267	0.0571	0.0419	0.0267	0.0419	0.0229	0.122	0	0.0114	0.00381	0.00381	0.0114	0.00381	0.0152	0	0	0.0952	0.0152	0	0.00762	0.118	0.0876	0.0533	0.0457	0.0381	0.0533	0.00762	0.0152	0.499	0.792	0.377	0.301	0.385	0.11	1.08	0.0419	0.3
Parachlamydiaceae	0.171	0.0381	0.0152	0.0381	0.00762	0.0267	0.0152	0.00762	0.0152	0.0305	0.00381	0.00381	0.00381	0.0152	0.00381	0	0	0.00762	0	0.0495	0.00762	0	0	0.0343	0.0381	0.0533	0.0305	0.0381	0.0267	0.00762	0	0.316	0.259	0.0495	0.141	0.0648	0.0381	0.659	0.0838	0.3
Acetobacteraceae	0.0305	0.133	0.0686	0.0457	0.0419	0.0648	0.061	0.11	0.0343	0.103	0.0533	0.0419	0.0457	0.118	0.0876	0.0686	0.0305	0.0267	0.0343	0.122	0.0381	0.0495	0.0762	0.0648	0.0533	0.0686	0.061	0.061	0.0419	0.0762	0.0114	0.0229	0.00762	0.0686	0.0648	0.0152	0.061	0.0114	0.061	0.3
Sporichthyaceae	0.126	0.263	0.221	0.187	0.141	0.179	0.251	0.126	0.0724	0.29	0.0533	0.0381	0	0	0.0114	0.00762	0.00381	0.0114	0.00381	0.331	0.00381	0.00762	0.0114	0.282	0.232	0.286	0.229	0.152	0.149	0.00381	0.00381	0.0381	0.0571	0.08	0.0762	0.0305	0.0724	0.137	0.0152	0.3
