Family	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1	All
Rhynchogastremataceae	0.00982	0.0884	0.0884	0.0196	0.115	2.04	0.138	0.0786	0.102	0.0884	0	0.432	0.0295	0.111	0.305	0.432	0	0.383	0.337	0.0982	0.0262	0.416	0.0589	0.501	0.0458	0.409	0.0753	0.0262	0.229	0.0426	0.223	0.275	0.35	0.593	0.0196	0.00655	0.0458	0.00655	0.0196	0.105	0.00327	0.0131	0.0982	0.4
Symmetrosporaceae	0.00327	0	0	0.00655	0	0	0.00982	0	0	0.036	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0	0	0.0295	0	0.00655	0	0.0491	0	0	0	0.0196	0.0229	0	0	0	0.0229	0.4
Paradictyoarthriniaceae	0.0295	0.0229	0	0.0655	0.00327	0.00327	0	0.036	0.0295	0	0	0.0458	0.0327	0	0.00982	0.036	0	0	0	0	0	0	0.0327	0	0	0.0589	0.0393	0.0262	0.0131	0.0131	0.0262	0.036	0.111	0	0.00327	0	0	0	0	0	0	0.734	0.00655	0.3
Trichosporonaceae	0	0.072	0	0	0.0295	0	0	0	0	0	0	0.0426	0.0229	0	0	0	0	0	0	0	0.095	0	0	0	0.219	0	0	0	0.0491	0.00327	0	0	0	0	0	0	0	0.00327	0	0	0	0	0.00327	0.3
Helotiaceae	0	0.0164	0	0.0229	0.917	0.00655	0.0229	0	0.0917	0	0.00327	0	0	0.00327	0	0	0	0	0	0	0	0	0.0229	0	0	0	0.0426	0.0458	0.0458	0	0	0.0491	0	0	0	0	0	0.00327	0.00327	0	0	0.00327	0	0.3
Dipodascaceae	0.00982	0	0.0491	0.0229	0.57	0.0851	0.036	0.0196	0.0622	0.0131	0	0.0131	0.0131	0	0	0	0	0	0.0327	0	0	0.121	0.00982	0	0.0164	0.111	0	0	0	0	0.00327	0	0	0	0	0	0.00655	0	0	0	0	0.00982	0	0.3
Cladosporiaceae	0.0982	0.485	0.0851	0.285	0.216	0.072	0.233	0.0557	0.311	0.0688	0	0.35	0.0426	0.18	0.115	0.0393	0.00327	0.164	0.0131	0.0262	0	0.275	0.393	0	0	0.0458	0.272	0.2	0.262	0.167	0.0982	0.151	0.0295	0	0.16	0.147	0	0.416	0.337	0.00655	0.00327	0.0557	0.0196	0.2
Stephanosporaceae	0	0	0	0	0	0.298	0	0.00982	0.105	0	0.00327	0.0131	0	0	0.00982	0.0262	0.00655	0.0262	0.00982	0	0	0	0	0	0.00327	0.0524	0	0.00327	0.0196	0.00327	0.0164	0	0.036	0	0	0	0.00655	0	0.00982	0.00982	0	0	0.0524	0.2
Sporormiaceae	0.00327	0	0	0.0524	0	0.00327	0.00655	0	0.00327	0	0	0	0	0	0.0196	0.00982	0	0	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0.0819	0	0	0	0	0.00327	0	0	0	0	0	0.2
Didymellaceae	0	0.0262	0	0	0	0	0.0393	0.00655	0	0	0	0.16	0.00655	0	0	0	0	0	0	0	0	0	0.0131	0	0	0	0	0.036	0	0.0196	0.0229	0	0	0	0	0	0	0.00655	0.0131	0	0	0	0.0196	0.2
Debaryomycetaceae	0	0	0	0.0131	0	0	0	0	0.0458	0	0	0.0262	0	0	0.0196	0	0	0	0	0.0262	0	0	0	0	0	0	0.0131	0	0	0	0.0131	0	0	0	0	0	0	0.00327	0.00327	0	0	0	0	0.2
Saccharomycetales_fam_Incertae_sedis	0	0	0	0	0.00655	0.00327	0.0164	0	0.00327	0	0	0.0229	0	0.00982	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0164	0	0	0.0164	0	0	0	0	0	0	0	0	0	0	0	0.2
Wallemiaceae	0.0164	0.0196	0	0.0262	0	0.0622	0.0164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0.00327	0	0	0.0164	0.00655	0	0	0	0.00327	0	0	0	0	0.0196	0	0.00327	0	0	0	0	0.2
Pervetustaceae	0	0	0	0	0	0.0917	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0884	0	0.0655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0164	0.2
Pezizomycotina_fam_Incertae_sedis	0.0229	0.334	0.0622	0.0164	0.134	0.229	0.0589	0.138	0.0295	0.0262	0	0.0164	0.118	0.00327	0.00982	0	0	0	0	0.0655	0	0	0.0393	0	0	0	0.436	0.18	0.072	0.223	0.036	0.0589	0.0393	0	0	0	0	0.00327	0.00327	0	0	0	0	0.2
Phaeosphaeriaceae	0.095	0.0426	0.0655	0.0131	0.105	0	0.0131	0	0	0	0	0.0262	0.0196	0	0	0.00655	0	0.0131	0.00327	0.00327	0	0	0.147	0.00655	0.00327	0.00327	0.095	0	0.216	0.0262	0.0688	0.0622	0.0589	0.00327	0.301	0.282	0.0557	1.14	0.586	0.0655	13.8	0.0196	0.00655	0.2
Trichosphaeriaceae	0	0	0	0.00655	0	0.00655	0	0	0.0458	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0.00982	0.0327	0	0	0	0	0.0557	0.00327	0	0	0	0	0	0	0	0	0	0.2
Spike	17.2	31.9	52.9	25.9	31.5	39.2	40.3	57.4	43.3	48	98.4	34.4	46.5	46.3	46	78.3	84.8	77.3	66.1	88.9	89.7	76.2	23.4	75.9	90	71.1	31	36.9	29.8	53	37.9	51.1	78.3	73.7	1.53	1.18	25.9	3.88	8.24	39.2	0.531	9.25	3.76	0.2
Polyporaceae	0	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242	0	0	0	0.115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0.00327	0	0.2
Rhizopodaceae	0.00327	0	0	0.00982	0.00655	0	0	0	0.00655	0	0	0	0.0164	0	0.0622	0	0	0	0	0	0	0	0.00327	0	0	0.00327	0.00982	0.00982	0	0.00655	0.00327	0.00982	0	0	0	0.00327	0	0	0	0	0	0	0	0.2
Strophariaceae	0	0	0	0	0	0.0426	0	0.0164	0	0	0	0	0	0	0.0131	0	0	0.0557	0	0	0	0	0.0131	0	0	0.0164	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0	0	0	0	0.2
Plectosphaerellaceae	0	0	0	0.00327	0.0131	0.0164	0	0	0	0	0	0	0.0229	0	0	0	0	0	0	0	0	0	0.0196	0	0	0	0.0229	0	0	0	0	0	0	0	0	0.00982	0	0.0262	0.0262	0	0.206	0	0	0.2
Pleosporales_fam_Incertae_sedis	0	0	0	0	0	0.193	0	0	0	0	0	0	0	0.0131	0	0	0	0	0	0	0	0	0	0	0	0.0851	0	0	0	0	0	0	0	0	0	0	0.00655	0	0	0	0	0	0.00327	0.2
Paraglomeraceae	0	0	0	0	0	0.0164	0.00327	0	0	0	0	0.00655	0	0	0	0	0	0	0	0	0	0	0	0	0.00982	0.036	0	0	0.00327	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0.0196	0.2
Mucoraceae	0.00327	0.00655	0	0	0.00655	0.00655	0.0295	0	0	0.00655	0	0	0.00327	0	0.00655	0	0	0	0	0	0	0	0.00655	0	0.00327	0.0491	0.0196	0.00655	0	0.00327	0.00327	0.00327	0	0	0	0	0	0	0	0	0	0	0	0.2
