Id,Label,timeset,G
ASV1141,ASV1141,,Unassigned
ASV412,ASV412,,Sphingomonas
ASV437,ASV437,,Terrimonas
ASV483,ASV483,,Lysobacter
ASV970,ASV970,,Flavobacterium
ASV1292,ASV1292,,Unassigned
ASV756,ASV756,,Unassigned
ASV1499,ASV1499,,Unassigned
ASV452,ASV452,,Flavisolibacter
ASV911,ASV911,,Flavisolibacter
ASV1152,ASV1152,,Devosia
ASV865,ASV865,,Unassigned
ASV28,ASV28,,Planococcus
ASV539,ASV539,,Exiguobacterium
ASV182,ASV182,,Erythrobacter
ASV469,ASV469,,Unassigned
ASV1162,ASV1162,,hgcI_clade
ASV1295,ASV1295,,Unassigned
ASV135,ASV135,,Flavisolibacter
ASV1468,ASV1468,,Unassigned
ASV16,ASV16,,Unassigned
ASV1647,ASV1647,,Unassigned
ASV22,ASV22,,Adhaeribacter
ASV328,ASV328,,Blastococcus
ASV45,ASV45,,Flavisolibacter
ASV507,ASV507,,Flavobacterium
ASV886,ASV886,,Unassigned
ASV922,ASV922,,Unassigned
ASV153,ASV153,,Acinetobacter
ASV2026,ASV2026,,Flavobacterium
ASV626,ASV626,,Pontibacter
ASV872,ASV872,,Unassigned
ASV1166,ASV1166,,Unassigned
ASV709,ASV709,,Sphingomonas
ASV154,ASV154,,Unassigned
ASV307,ASV307,,Unassigned
ASV3072,ASV3072,,Unassigned
ASV360,ASV360,,Unassigned
ASV374,ASV374,,Rufibacter
ASV440,ASV440,,Unassigned
ASV513,ASV513,,hgcI_clade
ASV1186,ASV1186,,Flavobacterium
ASV3768,ASV3768,,Unassigned
ASV4966,ASV4966,,Unassigned
ASV805,ASV805,,Gordonia
ASV925,ASV925,,Flavisolibacter
ASV119,ASV119,,Flavisolibacter
ASV2187,ASV2187,,Unassigned
ASV320,ASV320,,Unassigned
ASV393,ASV393,,Unassigned
ASV1193,ASV1193,,Rubellimicrobium
ASV1763,ASV1763,,Altererythrobacter
ASV1196,ASV1196,,Nibribacter
ASV3760,ASV3760,,Arthrobacter
ASV2744,ASV2744,,Arthrobacter
ASV12,ASV12,,Cellvibrio
