Source,Target,Type,Id,Label,timeset,Weight
ASV1070,ASV1070,Undirected,428,,,1
ASV1071,ASV1002,Undirected,429,,,0.636128
ASV1071,ASV1071,Undirected,430,,,1
ASV1073,ASV1073,Undirected,431,,,1
ASV1073,ASV237,Undirected,432,,,-1.457341
ASV1073,ASV451,Undirected,433,,,-1.497184
ASV108,ASV102,Undirected,436,,,0.621369
ASV108,ASV1038,Undirected,437,,,-0.602564
ASV108,ASV108,Undirected,439,,,1
ASV108,ASV111,Undirected,440,,,1.618852
ASV108,ASV114,Undirected,441,,,1.687374
ASV108,ASV117,Undirected,442,,,1.53112
ASV108,ASV122,Undirected,443,,,1.672057
ASV108,ASV125,Undirected,444,,,-1.593783
ASV108,ASV158,Undirected,445,,,-1.491722
ASV108,ASV164,Undirected,446,,,-1.443813
ASV108,ASV165,Undirected,447,,,1.725731
ASV108,ASV170,Undirected,448,,,1.439834
ASV108,ASV1781,Undirected,449,,,-1.596262
ASV108,ASV195,Undirected,450,,,1.425311
ASV108,ASV216,Undirected,451,,,1.490922
ASV108,ASV225,Undirected,452,,,-1.581348
ASV108,ASV229,Undirected,453,,,1.613472
ASV108,ASV237,Undirected,454,,,1.539742
ASV108,ASV24,Undirected,455,,,1.5101
ASV108,ASV252,Undirected,456,,,1.470467
ASV108,ASV260,Undirected,457,,,-1.64956
ASV108,ASV261,Undirected,458,,,-1.53368
ASV108,ASV271,Undirected,459,,,-1.69159
ASV108,ASV277,Undirected,460,,,-1.509612
ASV108,ASV288,Undirected,461,,,-1.574689
ASV108,ASV295,Undirected,462,,,-1.554405
ASV108,ASV31,Undirected,463,,,1.710731
ASV108,ASV310,Undirected,464,,,-1.563052
ASV108,ASV33,Undirected,465,,,1.588388
ASV108,ASV335,Undirected,466,,,-1.475554
ASV108,ASV344,Undirected,467,,,1.719319
ASV108,ASV349,Undirected,468,,,-1.49195
ASV108,ASV35,Undirected,469,,,-1.650107
ASV108,ASV36,Undirected,470,,,1.678925
ASV108,ASV363,Undirected,471,,,1.559586
ASV108,ASV37,Undirected,472,,,1.556939
ASV108,ASV3732,Undirected,473,,,-1.449456
ASV108,ASV3752,Undirected,474,,,-1.557146
ASV108,ASV38,Undirected,475,,,1.456808
ASV108,ASV384,Undirected,476,,,-1.492982
ASV108,ASV398,Undirected,477,,,-1.496112
ASV108,ASV4134,Undirected,478,,,-1.639179
ASV108,ASV436,Undirected,479,,,-1.570317
ASV108,ASV451,Undirected,480,,,1.547953
ASV108,ASV459,Undirected,481,,,-1.417564
ASV108,ASV5,Undirected,482,,,1.589245
ASV108,ASV51,Undirected,483,,,-1.455305
ASV108,ASV514,Undirected,484,,,1.484944
ASV108,ASV529,Undirected,485,,,-1.735391
ASV108,ASV56,Undirected,486,,,1.654067
ASV108,ASV571,Undirected,487,,,1.511012
ASV108,ASV59,Undirected,488,,,1.438184
ASV108,ASV6,Undirected,489,,,-1.460946
ASV108,ASV61,Undirected,490,,,1.547151
ASV108,ASV627,Undirected,491,,,-1.431427
ASV108,ASV655,Undirected,492,,,-1.452661
ASV108,ASV68,Undirected,493,,,1.414331
ASV108,ASV681,Undirected,494,,,1.558672
ASV108,ASV707,Undirected,495,,,-1.471391
ASV108,ASV71,Undirected,496,,,1.415421
ASV108,ASV732,Undirected,497,,,1.520846
ASV108,ASV74,Undirected,498,,,1.543244
ASV108,ASV79,Undirected,499,,,1.490156
ASV108,ASV80,Undirected,500,,,1.792964
ASV108,ASV810,Undirected,501,,,1.641376
ASV108,ASV82,Undirected,502,,,1.55901
ASV108,ASV828,Undirected,503,,,-1.640707
ASV108,ASV85,Undirected,504,,,-1.43967
ASV108,ASV854,Undirected,505,,,1.486351
ASV108,ASV856,Undirected,506,,,-1.534547
ASV108,ASV87,Undirected,507,,,1.686503
ASV108,ASV9,Undirected,508,,,1.620285
ASV108,ASV92,Undirected,509,,,-1.700675
ASV108,ASV927,Undirected,510,,,1.545847
ASV108,ASV938,Undirected,511,,,1.687298
ASV108,ASV95,Undirected,512,,,-1.671675
ASV108,ASV96,Undirected,513,,,1.651452
ASV109,ASV109,Undirected,514,,,1
ASV109,ASV3089,Undirected,515,,,-1.509656
ASV109,ASV568,Undirected,516,,,-1.633354
ASV1092,ASV1032,Undirected,517,,,-0.659954
ASV1092,ASV1092,Undirected,518,,,1
ASV1092,ASV1229,Undirected,519,,,-1.436744
ASV1092,ASV2223,Undirected,520,,,1.615775
ASV1092,ASV727,Undirected,521,,,1.525428
ASV1093,ASV1038,Undirected,522,,,0.630272
ASV1093,ASV1093,Undirected,523,,,1
ASV1093,ASV125,Undirected,524,,,1.550719
ASV1093,ASV219,Undirected,525,,,1.41459
ASV1093,ASV310,Undirected,526,,,1.569799
ASV1093,ASV334,Undirected,527,,,1.518477
ASV1093,ASV349,Undirected,528,,,1.663194
ASV1093,ASV398,Undirected,529,,,1.489087
ASV1093,ASV447,Undirected,530,,,1.420858
ASV1093,ASV458,Undirected,531,,,1.482457
ASV1093,ASV528,Undirected,532,,,1.58664
ASV1093,ASV557,Undirected,533,,,-1.442006
ASV1093,ASV6,Undirected,534,,,1.462126
ASV1093,ASV708,Undirected,535,,,1.482995
ASV1093,ASV775,Undirected,536,,,1.622925
ASV1093,ASV876,Undirected,537,,,1.498243
ASV1093,ASV95,Undirected,538,,,1.470914
ASV1093,ASV983,Undirected,539,,,1.502089
ASV1093,ASV995,Undirected,540,,,1.582637
ASV11,ASV1092,Undirected,541,,,-0.610687
ASV11,ASV11,Undirected,542,,,1
ASV11,ASV151,Undirected,543,,,-1.522842
ASV11,ASV2208,Undirected,544,,,-1.458526
ASV11,ASV254,Undirected,545,,,1.44853
ASV11,ASV2572,Undirected,546,,,-1.415838
ASV11,ASV3207,Undirected,547,,,-1.518101
ASV11,ASV478,Undirected,548,,,-1.455494
ASV110,ASV102,Undirected,550,,,0.688925
ASV110,ASV107,Undirected,551,,,0.637869
ASV110,ASV110,Undirected,552,,,1
ASV110,ASV111,Undirected,553,,,1.553489
ASV110,ASV15,Undirected,554,,,1.455297
ASV110,ASV18,Undirected,555,,,-1.600413
ASV110,ASV191,Undirected,556,,,1.429799
ASV110,ASV220,Undirected,557,,,1.437023
ASV110,ASV226,Undirected,558,,,1.478764
ASV110,ASV258,Undirected,559,,,1.435368
ASV110,ASV288,Undirected,560,,,-1.467912
ASV110,ASV4134,Undirected,561,,,-1.468765
ASV110,ASV579,Undirected,562,,,-1.508487
ASV110,ASV62,Undirected,563,,,1.573583
ASV110,ASV623,Undirected,564,,,-1.433622
ASV110,ASV681,Undirected,565,,,1.422805
ASV111,ASV1026,Undirected,569,,,-0.643008
ASV111,ASV1069,Undirected,570,,,-0.629617
ASV111,ASV111,Undirected,574,,,1
ASV111,ASV114,Undirected,575,,,1.537985
ASV111,ASV117,Undirected,576,,,1.752462
ASV111,ASV1217,Undirected,577,,,-1.432291
