	G.1	G.2	G.3	G.4	G.5	GR.01
ASV1867	0	0	0	0	0	0
ASV2045	0	0	0	0	0	0
ASV2084	9	7	12	7	12	0
ASV2115	2	21	1	2	11	5
ASV2128	0	0	0	0	0	0
ASV2147	7	16	5	2	5	5
ASV2331	6	3	5	4	2	7
ASV2349	6	5	2	3	0	8
ASV2413	0	0	3	1	0	0
ASV2617	1	7	2	0	0	1
ASV2665	11	10	6	8	3	5
ASV2798	0	0	0	0	0	0
ASV2822	0	0	0	0	0	0
ASV3041	0	0	0	0	0	0
ASV3597	0	12	1	4	3	2
ASV4024	0	10	8	3	6	7
ASV4363	1	1	6	5	14	0
ASV4382	1	2	1	0	1	0
ASV4513	0	0	0	0	0	0
ASV5029	4	5	1	4	6	0
ASV5427	0	2	6	2	9	0
ASV1675	3	5	8	6	5	6
ASV1767	1	0	3	1	0	0
ASV1850	3	6	9	1	7	1
ASV1980	2	12	1	4	16	0
ASV1984	0	0	0	0	0	0
ASV1988	0	0	0	0	0	0
ASV2031	0	0	1	0	0	0
ASV2042	2	0	1	1	0	0
ASV2047	2	18	2	3	17	0
ASV2065	1	9	2	0	14	23
ASV2111	9	2	16	9	1	10
ASV2219	6	1	3	1	1	4
ASV2224	4	0	0	1	0	0
ASV2226	0	1	1	2	1	0
ASV2228	1	0	0	3	0	0
ASV2261	4	2	1	1	3	4
ASV2305	0	0	1	3	0	0
ASV2321	0	20	12	4	12	0
ASV2369	2	0	1	0	0	0
ASV2400	0	0	0	0	0	0
ASV2417	1	0	0	0	0	0
ASV2476	1	0	0	1	0	0
ASV2561	14	1	7	3	0	1
ASV2637	0	0	0	0	0	0
ASV2782	5	6	1	3	1	3
ASV2819	1	0	0	1	0	0
ASV2924	6	3	4	1	0	0
ASV3189	0	0	1	0	0	0
ASV3231	4	0	4	2	0	2
ASV3314	3	0	12	6	0	2
ASV3756	5	0	0	0	1	0
ASV4046	0	0	0	0	0	3
ASV4404	1	0	3	8	0	4
ASV4414	2	3	2	2	0	5
ASV4435	0	2	7	2	0	5
ASV1725	0	1	1	0	0	5
ASV1751	7	0	9	8	0	0
ASV1837	0	0	0	0	0	0
ASV1851	0	1	1	0	0	1
ASV1916	7	11	9	3	3	4
ASV1923	2	5	2	5	5	0
ASV2052	0	0	0	0	0	0
ASV2122	7	4	7	2	0	0
ASV2127	3	23	8	4	2	13
ASV2162	0	0	0	0	0	0
ASV2164	0	2	1	3	3	1
ASV2191	5	16	11	7	1	9
ASV2197	0	0	0	0	0	0
ASV2248	7	10	16	5	2	1
ASV2297	1	0	3	0	0	0
ASV2347	1	0	5	4	0	3
ASV2425	14	4	5	2	2	0
ASV2480	5	0	1	1	0	2
ASV2699	4	1	12	1	0	1
ASV2719	2	0	2	2	0	4
ASV2743	0	0	2	1	0	1
ASV2751	10	11	1	4	1	18
ASV2963	3	1	2	4	5	9
ASV3707	0	0	1	2	0	0
ASV3791	2	2	0	1	2	1
ASV4111	0	0	3	0	0	0
ASV4373	0	0	0	0	0	0
ASV5082	0	1	0	0	0	0
ASV5311	0	1	2	2	0	2
ASV5409	5	6	3	7	1	1
ASV5786	0	1	0	0	0	0
ASV1726	1	0	5	0	0	0
ASV1855	4	13	13	9	7	3
ASV1954	0	0	0	0	0	0
ASV2020	0	0	0	0	0	0
ASV2032	0	0	0	0	0	0
ASV2077	6	1	10	2	0	0
ASV2298	2	6	4	3	8	1
ASV2318	1	2	1	2	6	6
ASV2336	1	0	0	0	0	1
ASV2395	0	1	3	0	0	1
ASV2438	10	2	7	4	2	8
ASV2456	0	3	2	0	0	2
ASV2498	3	2	2	1	1	3
ASV2513	1	0	8	9	1	1
ASV2522	0	0	0	1	0	0
ASV2527	2	22	13	5	3	8
ASV2676	0	0	0	0	0	0
ASV2729	6	0	4	5	0	0
ASV2781	3	0	1	0	0	0
ASV2983	0	0	0	0	0	0
ASV3062	0	0	0	0	0	0
ASV3070	0	0	0	0	0	0
ASV3586	0	0	0	0	0	0
ASV3718	0	0	0	0	0	0
ASV3856	0	22	1	3	4	11
ASV4007	5	0	0	0	0	0
ASV4088	1	0	2	1	0	0
ASV4378	5	1	1	18	0	2
ASV4796	5	0	13	0	0	6
ASV5178	0	0	4	4	2	0
ASV1864	0	0	1	1	0	0
ASV1866	4	0	2	0	1	0
ASV1883	0	0	0	0	2	0
ASV1920	1	8	6	2	4	11
ASV1931	0	0	0	0	0	0
ASV2078	0	29	9	1	8	0
ASV2167	0	5	4	0	2	0
ASV2169	1	0	4	4	0	0
ASV2196	16	0	12	3	0	1
ASV2198	0	0	0	0	1	0
ASV2206	11	10	11	1	1	2
ASV2207	0	0	0	3	0	0
ASV2211	0	8	2	4	33	2
ASV2252	0	3	8	8	1	1
ASV2273	0	0	0	0	0	0
ASV2303	11	5	3	2	1	10
ASV2328	0	0	15	7	0	0
ASV2329	0	1	1	0	0	0
ASV2334	0	6	7	1	7	2
ASV2340	0	1	3	4	1	0
ASV2376	2	0	1	1	0	0
ASV2468	0	0	0	0	0	0
ASV2514	1	0	1	2	0	1
ASV2570	0	0	0	0	0	0
ASV2710	5	11	8	0	5	2
ASV2767	0	0	0	0	1	0
ASV2840	0	0	0	1	0	0
ASV2847	0	0	0	0	0	0
ASV2985	3	11	2	6	13	2
ASV3129	0	0	0	0	0	0
ASV3304	2	1	3	6	1	0
ASV3341	2	2	1	2	12	2
ASV3650	6	2	8	7	0	3
ASV4100	1	0	0	0	1	1
ASV4703	7	1	5	0	0	1
ASV5432	2	7	2	11	4	0
ASV1862	0	6	4	9	1	0
ASV1938	2	0	3	6	0	1
ASV1982	0	0	0	0	0	0
ASV2014	0	0	1	6	36	0
ASV2071	1	0	1	0	11	0
ASV2086	1	0	3	2	0	3
ASV2101	4	2	4	2	0	0
ASV2113	1	5	4	3	14	12
ASV2210	0	0	0	1	0	0
ASV2245	7	2	5	4	1	5
ASV2264	1	0	4	1	0	0
ASV2266	1	0	0	38	3	0
ASV2302	3	13	7	6	1	2
ASV2466	3	0	10	6	0	3
ASV2556	1	0	1	0	0	0
ASV2594	0	3	2	1	1	3
ASV2680	0	0	0	3	0	0
ASV2901	0	1	0	0	0	0
ASV2960	5	2	4	4	0	2
ASV3609	10	2	8	6	0	9
ASV4534	0	0	0	0	0	0
ASV5305	0	0	0	0	0	0
ASV1797	1	0	0	0	0	0
ASV1843	0	0	0	0	0	0
ASV1910	1	0	2	3	0	1
ASV1948	0	0	0	0	0	0
ASV1987	1	0	0	1	0	0
ASV2003	17	2	13	5	4	0
ASV2012	3	1	0	3	27	11
ASV2095	1	0	0	0	0	0
ASV2105	20	2	13	0	0	3
ASV2119	0	2	0	3	11	0
ASV2133	0	0	0	0	1	0
ASV2257	1	0	1	3	0	5
ASV2262	0	3	1	2	4	0
ASV2335	0	0	6	0	0	1
ASV2389	1	0	18	4	3	0
ASV2445	6	2	3	1	0	0
ASV2492	12	6	22	4	1	3
ASV2574	8	11	10	2	5	2
ASV2591	0	0	1	0	0	0
ASV2630	0	0	0	0	0	0
ASV2712	4	1	3	5	0	3
ASV2763	0	0	0	1	0	0
ASV2921	0	2	3	0	0	0
ASV2925	8	8	7	4	0	4
ASV3069	1	1	1	2	0	7
ASV3090	0	0	2	0	0	1
ASV3154	1	0	1	2	0	1
ASV3157	3	5	13	3	6	1
ASV3229	4	8	9	5	13	0
ASV3546	0	0	0	0	0	0
ASV4003	0	0	1	0	2	1
ASV5095	1	0	7	2	0	0
ASV5598	2	8	1	1	4	1
ASV1753	0	0	2	0	0	0
ASV1829	2	1	3	2	4	5
ASV1890	0	1	1	0	0	1
ASV1893	0	0	0	0	0	0
ASV1901	0	0	0	0	0	0
ASV2061	2	0	6	1	0	1
ASV2072	0	0	0	0	0	0
ASV2074	0	0	0	1	0	0
ASV2083	2	7	17	7	5	0
ASV2125	13	7	7	2	6	0
ASV2129	2	0	27	9	0	0
ASV2148	5	6	5	5	6	0
ASV2184	0	0	5	2	0	1
ASV2205	0	0	0	1	1	0
ASV2247	3	0	0	0	0	0
ASV2258	0	0	0	0	0	0
ASV2348	0	6	8	1	11	0
ASV2407	2	28	0	2	5	0
ASV2510	0	0	0	0	0	0
ASV2571	0	5	0	0	4	0
ASV2627	0	1	0	0	0	1
ASV2690	14	7	14	9	0	3
ASV2769	4	2	0	2	5	1
ASV2922	0	0	0	0	0	0
ASV3054	1	0	1	1	0	0
ASV3110	0	4	0	1	0	0
ASV3198	0	0	6	3	0	0
ASV3467	3	2	0	1	3	0
ASV3491	0	0	0	1	0	0
ASV4114	1	0	2	0	0	0
ASV1787	0	32	3	6	12	0
ASV1819	0	0	0	0	0	1
ASV1854	0	0	0	0	0	0
ASV1900	14	3	17	3	3	3
ASV1944	0	26	2	2	10	0
ASV1967	35	2	7	5	0	5
ASV1999	0	0	0	0	0	0
ASV2120	2	7	10	6	24	0
ASV2168	0	0	0	0	0	2
ASV2190	1	0	3	0	2	0
ASV2194	0	0	0	1	31	0
ASV2234	0	0	1	1	0	0
ASV2246	0	0	0	0	0	0
ASV2249	5	1	0	3	0	0
ASV2373	0	0	0	0	0	0
ASV2401	8	8	2	5	1	1
ASV2421	0	0	0	0	0	0
ASV2488	4	0	4	3	1	7
ASV2528	0	0	0	1	18	0
ASV2611	0	2	2	0	0	0
ASV2707	5	6	24	3	2	1
ASV2713	0	0	1	2	0	1
ASV2848	2	2	1	0	0	4
ASV2866	3	0	1	0	0	25
ASV2886	3	3	5	6	5	2
ASV2918	1	0	2	0	0	0
ASV2939	2	0	1	0	0	1
ASV3036	0	0	0	0	0	0
ASV3122	1	0	0	1	0	0
ASV3164	1	0	0	6	0	0
ASV3248	1	7	1	1	0	1
ASV3252	0	0	0	0	0	0
ASV3531	2	6	7	2	0	7
ASV3567	3	2	0	3	1	5
ASV3683	0	0	0	1	2	1
ASV3888	3	0	4	1	0	0
ASV3903	0	0	0	0	0	0
ASV3977	1	10	2	6	5	1
ASV4150	0	0	0	0	0	0
ASV4555	0	0	1	1	2	0
ASV4745	0	0	0	0	0	0
ASV4768	1	2	7	3	4	1
ASV4975	9	4	5	8	2	3
ASV5059	0	0	3	0	1	0
ASV5295	1	1	0	2	1	2
ASV5648	1	0	2	0	0	0
ASV1841	0	0	0	0	0	0
ASV1860	0	0	0	4	44	0
ASV1882	0	0	3	2	0	0
ASV1921	0	0	0	0	0	0
ASV2001	0	0	0	0	0	0
ASV2022	1	1	1	0	0	0
ASV2068	0	17	1	3	0	0
ASV2090	1	0	12	8	0	28
ASV2110	0	5	2	2	0	0
ASV2172	0	0	0	0	0	0
ASV2186	0	4	3	2	3	0
ASV2199	1	0	3	2	0	0
ASV2238	6	0	4	2	1	0
ASV2253	4	0	9	2	0	0
ASV2279	0	4	3	21	16	0
ASV2324	0	0	0	0	0	0
ASV2342	0	0	1	1	7	0
ASV2346	0	0	0	0	0	0
ASV2375	6	9	4	2	7	5
ASV2398	14	1	8	4	0	2
ASV2469	1	0	3	2	0	0
ASV2562	0	0	2	2	0	1
ASV2625	1	0	1	0	1	0
ASV2655	0	0	2	1	0	0
ASV2714	0	9	2	2	0	0
ASV2928	0	1	1	0	0	0
ASV3144	5	5	15	6	2	4
ASV3161	0	0	0	0	0	0
ASV3177	1	2	1	1	1	1
ASV3289	0	0	0	0	0	0
ASV3330	0	0	1	4	0	1
ASV3425	0	1	2	1	0	1
ASV4754	1	6	6	3	9	0
ASV4848	0	0	1	0	7	0
ASV4896	11	7	4	2	1	1
ASV5106	10	5	2	2	1	13
ASV1847	4	4	4	2	1	2
ASV1905	0	0	0	0	0	0
ASV2009	0	0	0	0	0	8
ASV2018	2	0	1	3	0	0
ASV2099	15	17	8	5	3	0
ASV2143	2	1	3	0	3	0
ASV2203	4	1	2	1	4	2
ASV2222	0	0	0	0	0	0
ASV2237	1	0	0	0	0	0
ASV2289	1	0	1	1	39	0
ASV2294	0	0	0	0	0	0
ASV2358	2	1	6	2	0	1
ASV2380	0	0	0	0	0	0
ASV2396	0	0	0	0	0	0
ASV2405	0	10	1	4	6	0
ASV2487	1	0	0	0	0	0
ASV2490	2	0	1	1	1	3
ASV2505	1	0	2	5	0	5
ASV2540	5	0	2	0	0	1
ASV2620	1	7	5	2	5	0
ASV2633	7	4	4	0	0	5
ASV2739	0	0	0	0	0	0
ASV2789	0	0	0	0	0	0
ASV3002	0	1	3	3	0	1
ASV3035	3	0	2	5	0	0
ASV3059	0	0	0	0	0	2
ASV3109	12	1	8	2	1	14
ASV3116	13	0	3	4	0	4
ASV3180	0	0	0	0	0	0
ASV3301	2	0	8	9	3	2
ASV3551	1	0	0	1	0	4
ASV3804	2	3	2	0	4	4
ASV4137	2	0	2	0	2	3
ASV4274	1	8	9	4	2	1
ASV4462	1	0	1	2	2	0
ASV4698	3	1	7	1	15	0
ASV1957	1	2	1	2	14	7
ASV2023	0	1	7	2	1	4
ASV2033	0	0	0	0	0	0
ASV2144	0	1	1	0	1	0
ASV2145	2	0	4	3	0	0
ASV2151	4	5	9	3	2	3
ASV2153	0	0	3	1	0	0
ASV2310	2	0	1	0	0	0
ASV2317	0	2	0	0	0	1
ASV2353	3	11	2	8	6	0
ASV2406	3	2	4	1	0	1
ASV2419	10	13	6	4	3	8
ASV2422	7	0	2	1	0	4
ASV2424	0	7	0	1	6	1
ASV2447	0	0	0	0	0	0
ASV2463	0	5	11	10	7	0
ASV2509	15	11	3	4	0	18
ASV2515	0	0	0	0	0	0
ASV2531	0	10	3	2	11	1
ASV2555	1	0	0	0	0	0
ASV2559	2	12	8	4	4	4
ASV2615	0	6	7	15	18	0
ASV2648	0	0	1	1	0	1
ASV2661	8	0	3	3	0	1
ASV2734	12	2	7	4	1	9
ASV2746	1	0	1	2	1	4
ASV2748	0	0	0	0	0	0
ASV2755	0	0	3	2	2	0
ASV2792	1	1	3	1	0	2
ASV2810	0	0	0	0	0	0
ASV2812	6	6	12	10	0	4
ASV2831	1	0	0	0	2	0
ASV2885	1	1	3	1	0	1
ASV3019	11	6	3	8	3	0
ASV3088	0	0	0	0	0	0
ASV3216	0	3	3	5	8	0
ASV3225	0	0	0	1	0	0
ASV3285	4	2	11	12	0	4
ASV3454	2	1	2	0	0	3
ASV3471	0	0	0	0	0	0
ASV3503	12	2	11	9	0	4
ASV3648	0	0	0	1	0	4
ASV3787	4	0	5	2	0	0
ASV4129	6	0	14	8	0	0
ASV4186	3	0	5	3	0	1
ASV4207	3	2	2	0	1	0
ASV4419	0	0	1	0	0	0
ASV4541	0	1	0	1	0	1
ASV4672	2	4	0	0	1	0
ASV4731	1	11	1	7	3	1
ASV4977	2	0	4	5	1	0
ASV5138	2	0	0	1	1	1
ASV5216	1	0	0	0	0	1
ASV5344	0	0	0	0	0	0
ASV5920	0	0	0	0	0	0
ASV1897	1	0	0	0	0	0
ASV1991	6	1	8	6	0	1
ASV2050	1	0	4	2	0	0
ASV2123	0	0	0	0	0	0
ASV2209	16	3	5	3	0	5
ASV2296	0	0	0	0	0	0
ASV2339	0	0	0	1	0	0
ASV2363	0	21	2	9	17	1
ASV2368	1	3	8	0	1	1
ASV2391	0	0	0	0	0	0
ASV2402	1	2	1	0	27	0
ASV2403	4	11	4	0	4	10
ASV2414	0	1	3	0	1	0
ASV2437	1	0	1	0	0	1
ASV2550	0	0	0	0	0	0
ASV2586	1	0	4	1	0	0
ASV2590	5	4	4	4	0	5
ASV2603	0	1	2	3	25	1
ASV2644	2	0	0	1	1	1
ASV2670	3	2	0	4	5	0
ASV2715	0	0	0	0	0	0
ASV2773	0	0	1	2	1	0
ASV2830	1	2	0	1	0	2
ASV2876	1	0	1	2	0	0
ASV2933	0	1	0	0	0	0
ASV2968	4	0	2	0	0	0
ASV3033	0	0	0	0	0	2
ASV3197	0	0	2	0	0	0
ASV3223	5	0	1	3	0	9
ASV3422	0	0	0	0	0	0
ASV3516	3	3	5	2	0	5
ASV3655	3	4	0	4	4	1
ASV3689	4	5	0	1	7	1
ASV3794	1	0	2	1	0	1
ASV3950	0	0	1	0	0	0
ASV3970	3	0	1	6	1	2
ASV4093	2	5	5	4	1	2
ASV4143	2	0	0	0	0	0
ASV4459	0	0	1	1	0	0
ASV4581	4	5	2	5	4	3
ASV4659	0	0	0	0	0	0
ASV4767	0	0	0	0	0	0
ASV5293	1	0	0	1	0	0
ASV5708	4	3	6	3	5	3
ASV1775	5	9	12	2	2	2
ASV1968	4	11	8	3	5	0
ASV2006	0	0	0	0	0	0
ASV2040	1	17	13	3	7	2
ASV2060	0	0	0	0	0	0
ASV2112	0	0	1	1	0	0
ASV2140	0	0	0	0	0	1
ASV2157	0	0	0	0	1	0
ASV2195	13	8	12	10	0	0
ASV2201	1	12	12	6	0	0
ASV2202	1	0	0	0	0	0
ASV2241	1	1	2	1	3	1
ASV2244	0	0	1	0	0	0
ASV2278	5	17	3	6	5	1
ASV2307	0	4	2	1	3	5
ASV2314	0	0	2	0	0	0
ASV2355	1	0	10	5	0	1
ASV2408	0	0	0	0	0	0
ASV2431	19	7	8	2	0	3
ASV2483	3	1	6	6	1	0
ASV2596	0	0	0	0	0	0
ASV2629	0	1	3	1	0	0
ASV2632	1	4	2	1	3	0
ASV2634	17	3	9	4	9	3
ASV2718	0	0	0	0	0	0
ASV2738	1	2	1	1	2	1
ASV2756	0	0	0	0	0	0
ASV2836	0	0	0	0	0	0
ASV2843	34	1	7	1	0	1
ASV2880	2	1	0	3	3	4
ASV2881	3	0	2	2	5	4
ASV2900	0	0	3	5	0	0
ASV2934	1	1	3	2	0	3
ASV2969	1	21	5	1	1	6
ASV2986	1	0	2	0	0	0
ASV3014	3	2	8	4	0	6
ASV3081	0	0	3	0	11	3
ASV3183	3	0	1	4	1	2
ASV3254	6	17	10	2	0	6
ASV3273	1	5	2	4	13	0
ASV3279	0	5	2	1	13	4
ASV3294	0	0	0	0	0	3
ASV3428	1	0	3	1	0	0
ASV3744	1	0	2	0	0	0
ASV4180	1	1	0	1	0	0
ASV4254	5	5	3	1	1	0
ASV4316	0	0	1	0	0	0
ASV4490	0	1	2	2	0	3
ASV5197	2	3	4	3	13	0
ASV5346	0	1	0	1	0	0
ASV5655	0	0	0	0	0	0
ASV1913	6	19	8	5	8	2
ASV2016	0	0	0	0	0	0
ASV2075	0	0	0	0	0	0
ASV2142	1	6	0	0	0	19
ASV2149	0	7	6	4	0	5
ASV2193	1	1	0	0	0	1
ASV2215	3	2	10	7	0	1
ASV2265	0	0	0	0	0	0
ASV2267	0	0	0	0	0	0
ASV2275	0	0	0	0	0	0
ASV2293	0	7	1	2	32	0
ASV2357	3	1	3	2	0	10
ASV2429	0	1	0	0	0	1
ASV2462	0	11	2	1	5	4
ASV2479	3	2	4	0	5	3
ASV2525	2	0	0	0	0	0
ASV2535	0	0	0	0	0	0
ASV2541	0	0	1	1	0	0
ASV2612	0	44	0	1	0	1
ASV2639	2	0	1	1	0	0
ASV2704	0	0	0	0	0	0
ASV2786	0	0	0	0	0	0
ASV2797	0	3	1	4	20	1
ASV2815	1	0	4	0	1	0
ASV2825	0	0	12	1	0	11
ASV2844	6	1	2	1	2	2
ASV2869	4	11	9	1	2	3
ASV2895	0	0	0	0	0	0
ASV3020	0	0	2	2	0	0
ASV3155	2	3	10	12	0	4
ASV3190	1	0	0	0	0	0
ASV3475	0	0	0	2	0	0
ASV3588	5	0	4	1	1	2
ASV3606	3	2	1	3	2	5
ASV3617	0	0	1	1	0	0
ASV3622	3	10	13	8	2	2
ASV3684	1	0	3	1	0	0
ASV3743	3	11	1	1	2	1
ASV4095	3	2	2	2	1	5
ASV4177	0	0	0	0	0	1
ASV4189	2	0	3	0	2	3
ASV4250	6	2	2	1	1	12
ASV4515	0	5	4	2	3	3
ASV4596	0	0	0	0	0	0
ASV4680	7	0	6	4	0	1
ASV5787	0	0	0	0	0	0
ASV1951	0	1	8	6	0	5
ASV2011	0	19	14	3	0	0
ASV2053	8	0	8	1	0	0
ASV2183	0	0	0	0	0	1
ASV2231	0	0	0	0	0	0
ASV2235	0	0	2	0	0	1
ASV2236	16	2	7	4	2	0
ASV2285	0	0	1	0	0	1
ASV2343	0	0	0	0	0	0
ASV2374	0	11	5	6	0	0
ASV2387	0	4	4	2	14	1
ASV2390	0	0	0	3	0	0
ASV2397	2	0	0	0	2	0
ASV2464	0	0	1	1	0	0
ASV2482	0	0	0	0	0	1
ASV2497	1	0	1	1	1	0
ASV2536	0	0	0	0	0	0
ASV2537	0	0	0	0	0	0
ASV2542	0	0	0	0	0	0
ASV2565	4	4	1	1	3	2
ASV2584	1	0	0	0	0	0
ASV2628	0	0	1	3	0	0
ASV2662	1	7	1	2	1	8
ASV2686	0	3	0	2	0	0
ASV2688	7	8	0	2	2	1
ASV2759	0	0	0	0	0	0
ASV2784	3	11	1	4	11	2
ASV2813	4	5	4	0	0	7
ASV2818	1	1	0	0	0	0
ASV2864	1	15	2	0	7	0
ASV2892	2	0	3	5	4	0
ASV2897	1	0	0	0	1	1
ASV2899	1	1	2	0	2	2
ASV2936	1	0	0	0	0	0
ASV2966	3	0	1	0	0	6
ASV3003	5	1	5	4	0	11
ASV3010	2	1	0	0	0	0
ASV3025	0	0	0	0	0	0
ASV3086	1	2	5	3	13	0
ASV3181	0	0	0	0	0	0
ASV3204	0	0	0	0	0	0
ASV3221	0	0	2	3	0	0
ASV3293	0	0	0	0	0	0
ASV3410	0	0	0	0	0	0
ASV3497	1	0	2	4	16	0
ASV3573	0	0	0	0	0	0
ASV3596	0	0	1	0	0	0
ASV4237	0	0	3	3	0	0
ASV4343	1	0	3	1	0	0
ASV4858	12	1	6	0	0	2
ASV5012	0	1	0	1	0	1
ASV5437	6	0	5	3	0	1
ASV5830	1	4	10	6	3	0
ASV5927	0	0	0	0	0	0
ASV5950	0	4	4	9	3	0
ASV2137	0	0	0	0	0	0
ASV2141	0	0	2	0	0	0
ASV2230	0	0	0	0	0	0
ASV2239	1	0	0	0	0	0
ASV2256	0	0	0	0	0	0
ASV2259	1	8	4	9	7	0
ASV2286	0	0	0	0	0	0
ASV2327	3	3	3	2	0	0
ASV2365	0	0	3	0	0	0
ASV2493	0	0	4	0	0	0
ASV2496	0	5	6	6	20	0
ASV2499	1	7	4	5	8	1
ASV2524	0	0	0	0	0	0
ASV2651	0	0	0	0	0	0
ASV2681	9	6	11	16	1	0
ASV2706	8	11	0	3	6	1
ASV2745	0	0	0	0	0	0
ASV2779	1	0	6	6	0	4
ASV2860	1	2	0	1	0	0
ASV2878	1	0	0	0	0	0
ASV2920	4	2	3	4	4	1
ASV2998	0	0	0	0	0	0
ASV3071	1	0	2	3	0	3
ASV3083	5	4	3	0	0	6
ASV3117	2	2	3	1	1	0
ASV3146	1	0	0	0	0	0
ASV3151	4	5	2	0	3	0
ASV3308	4	2	1	0	0	3
ASV3434	0	0	0	0	2	0
ASV3473	0	0	5	4	0	0
ASV3539	0	0	0	0	0	0
ASV3580	0	7	1	1	10	0
ASV3758	1	11	3	5	0	12
ASV3877	0	0	0	0	0	1
ASV4078	8	7	6	4	0	2
ASV4118	0	0	0	0	0	1
ASV4124	7	0	5	0	0	2
ASV4175	1	3	0	4	2	1
ASV4184	0	0	4	1	3	2
ASV4504	0	3	1	1	1	0
ASV4944	1	0	2	2	1	0
ASV5151	1	0	1	0	0	1
ASV5189	0	0	0	0	0	0
ASV2069	0	0	0	0	0	0
ASV2159	0	0	0	0	0	0
ASV2227	7	4	11	3	7	4
ASV2316	0	0	0	0	0	0
ASV2325	0	4	3	0	5	0
ASV2332	0	5	3	5	20	0
ASV2371	0	0	0	1	0	0
ASV2372	3	1	2	2	0	4
ASV2378	0	0	0	0	0	0
ASV2399	3	4	9	2	1	6
ASV2428	6	6	10	3	4	0
ASV2471	12	9	7	3	6	6
ASV2474	0	2	0	0	0	2
ASV2489	3	0	6	9	1	0
ASV2495	1	5	2	2	10	0
ASV2539	0	0	0	0	0	0
ASV2543	3	6	5	1	2	2
ASV2547	2	0	0	0	0	0
ASV2554	0	0	0	0	0	0
ASV2558	0	0	0	0	0	0
ASV2563	5	0	5	4	1	0
ASV2569	5	0	6	3	1	3
ASV2576	0	0	0	0	0	0
ASV2578	0	5	6	2	21	0
ASV2656	2	1	13	2	0	0
ASV2702	17	0	20	3	2	0
ASV2826	1	0	1	1	0	1
ASV2984	25	11	0	6	1	2
ASV2995	5	2	4	1	0	1
ASV3050	0	0	0	0	0	0
ASV3093	0	3	4	6	14	0
ASV3140	0	0	0	0	0	0
ASV3179	0	0	0	1	0	0
ASV3312	1	0	1	0	0	1
ASV3326	1	1	0	0	0	0
ASV3375	0	0	0	0	0	1
ASV3403	2	0	2	4	1	2
ASV3426	12	5	4	5	8	0
ASV3427	1	0	1	2	0	0
ASV3510	0	0	0	0	0	1
ASV3601	7	4	2	0	0	1
ASV3616	2	3	4	1	3	1
ASV3632	0	5	0	0	10	5
ASV3845	0	2	0	2	6	6
ASV4198	0	0	0	0	4	0
ASV4737	5	3	5	3	2	1
ASV4822	1	5	2	2	0	0
ASV5134	2	0	1	4	1	1
ASV5161	4	0	6	4	0	0
ASV5234	0	0	0	0	0	0
ASV5303	0	0	0	0	0	0
ASV5393	0	0	2	0	0	0
ASV5419	1	0	4	0	0	0
ASV5622	1	0	4	0	1	0
ASV5709	2	0	0	3	0	4
ASV5823	3	0	2	2	0	11
ASV2082	0	0	0	0	0	0
ASV2096	12	1	6	6	0	3
ASV2132	0	0	3	0	0	0
ASV2200	1	11	3	1	6	0
ASV2214	3	11	4	3	21	0
ASV2281	0	0	2	0	0	0
ASV2295	0	1	3	5	30	0
ASV2313	0	0	0	0	0	0
ASV2377	1	2	3	3	2	1
ASV2441	4	0	5	3	2	4
ASV2470	3	3	3	1	0	9
ASV2502	0	8	7	1	1	10
ASV2507	0	0	0	0	0	0
ASV2606	0	4	4	0	1	0
ASV2693	1	0	2	1	0	1
ASV2695	7	0	8	4	0	0
ASV2735	0	5	0	0	0	2
ASV2742	0	1	0	1	0	0
ASV2757	1	3	2	0	0	2
ASV2780	0	0	1	0	0	1
ASV2821	0	0	0	0	0	0
ASV2917	0	0	0	0	0	0
ASV2946	0	2	2	3	0	0
ASV2952	5	2	1	2	0	1
ASV3001	1	12	3	10	3	0
ASV3049	0	1	2	0	0	1
ASV3064	2	0	4	5	0	5
ASV3135	1	0	1	1	0	0
ASV3196	0	0	0	0	5	0
ASV3230	1	0	1	0	0	0
ASV3243	10	6	13	9	0	2
ASV3250	0	0	0	0	0	0
ASV3307	0	0	0	0	0	0
ASV3334	3	8	8	3	7	0
ASV3355	0	4	2	1	0	1
ASV3423	2	3	1	4	3	1
ASV3430	0	0	0	0	0	4
ASV3489	0	0	1	0	0	0
ASV3505	0	0	0	0	0	0
ASV3593	4	0	2	7	0	3
ASV3636	3	7	6	8	3	0
ASV3667	0	0	0	1	0	0
ASV3674	5	1	4	1	2	1
ASV3677	0	1	0	2	0	0
ASV3785	0	0	0	0	0	0
ASV3818	0	0	1	0	0	0
ASV3826	0	8	4	3	13	0
ASV3883	1	0	1	2	0	0
ASV3975	2	3	5	9	11	1
ASV4434	1	0	2	5	0	0
ASV4774	0	1	2	5	6	0
ASV4801	1	0	0	0	0	0
ASV4803	8	8	0	4	0	9
ASV4815	1	1	2	1	0	0
ASV4883	5	5	3	3	0	7
ASV5252	0	0	1	0	0	0
ASV5468	0	0	0	0	1	0
ASV5542	5	5	0	0	1	10
ASV5664	1	0	1	3	0	0
ASV5842	1	0	4	1	0	0
ASV2181	1	0	2	0	0	0
ASV2311	0	0	0	0	0	1
ASV2320	0	2	1	0	3	0
ASV2345	0	0	2	0	0	0
ASV2351	3	4	3	4	0	0
ASV2364	6	0	8	5	0	4
ASV2381	0	3	1	1	10	0
ASV2415	0	0	0	0	0	0
ASV2416	10	2	8	4	3	9
ASV2432	0	0	17	9	1	1
