	G.1	G.2	G.3	G.4	G.5	GR.01
ASV2124	3	0	2	9	0	0
ASV423	30	27	28	11	113	26
ASV635	0	0	0	0	0	6
ASV1594	13	1	0	5	1	12
ASV498	0	0	1	0	0	1
ASV480	35	41	20	8	2	210
ASV893	6	8	3	11	2	27
ASV486	0	1	0	0	0	1
ASV510	10	4	4	10	2	2
ASV429	0	0	0	0	0	0
ASV395	24	2	26	20	0	6
ASV415	0	2	6	0	0	11
ASV1287	1	0	0	0	0	0
ASV4085	1	0	0	0	0	0
ASV586	0	0	0	0	0	0
ASV428	0	0	0	0	1	0
ASV470	3	0	2	0	0	0
ASV531	0	0	7	5	0	0
ASV828	7	10	1	6	14	15
ASV547	9	4	2	0	0	4
ASV1492	31	42	4	34	7	12
ASV431	0	21	94	54	116	0
ASV600	2	0	11	6	0	1
ASV499	0	0	0	0	0	0
ASV501	3	1	19	12	0	2
ASV387	4	1	2	0	0	1
ASV528	0	3	2	0	0	19
ASV460	3	1	11	5	0	0
ASV621	1	0	1	0	0	0
ASV484	0	0	0	0	0	2
ASV500	3	0	9	3	0	0
ASV517	0	1	0	0	0	0
ASV552	5	22	8	6	11	10
ASV457	1	0	1	0	0	0
ASV474	0	0	1	0	0	0
ASV535	3	0	5	16	0	0
ASV442	5	1	0	0	0	0
ASV545	8	1	24	11	2	11
ASV476	1	2	4	2	1	0
ASV462	0	0	0	1	1	1
ASV543	9	1	13	1	0	214
ASV455	0	7	8	3	7	11
ASV525	9	0	8	3	0	0
ASV483	0	0	0	0	0	0
ASV488	22	22	43	32	48	16
ASV532	10	5	18	6	2	24
ASV1210	13	1	2	17	0	35
ASV4277	0	1	0	0	0	0
ASV441	26	4	18	14	0	4
ASV452	1	0	0	0	0	0
ASV496	1	5	1	1	0	0
ASV433	1	8	12	7	10	1
ASV550	0	0	0	1	0	0
ASV548	3	6	7	2	0	2
ASV617	12	0	16	8	1	186
ASV556	5	2	18	4	0	2
ASV489	1	2	5	1	0	0
ASV493	10	51	19	13	55	10
ASV616	29	4	37	23	1	56
ASV527	16	25	18	19	1	48
ASV591	0	0	0	0	0	0
ASV502	0	0	0	0	0	0
ASV2595	12	14	2	24	12	4
ASV523	13	64	20	14	89	21
ASV779	3	0	1	1	0	0
ASV3406	19	11	2	21	14	13
ASV3760	7	2	5	6	1	4
ASV440	3	1	4	3	2	0
ASV536	1	15	2	10	9	187
ASV1243	3	3	4	9	3	0
ASV509	4	27	6	8	5	0
ASV605	0	0	0	0	0	0
ASV418	18	28	47	17	5	11
ASV443	0	0	0	0	0	0
ASV453	32	22	28	23	29	4
ASV526	2	1	7	5	1	7
ASV677	0	0	0	0	0	0
ASV503	4	0	17	9	0	2
ASV507	0	0	0	0	0	0
ASV542	2	0	0	0	0	0
ASV3107	3	0	0	2	1	53
ASV5166	0	0	0	0	0	1
ASV529	10	9	7	7	0	13
ASV561	1	0	5	1	0	7
ASV4518	0	0	0	1	0	0
ASV504	9	0	32	11	1	11
ASV514	0	0	0	0	0	0
ASV524	7	99	33	53	43	2
ASV1647	21	9	9	31	2	20
ASV511	0	0	0	0	0	0
ASV446	1	0	1	0	0	1
ASV449	27	8	36	16	6	7
ASV487	10	15	48	42	26	2
ASV570	0	0	0	1	0	0
ASV1329	21	3	5	9	2	0
ASV512	1	0	2	1	0	1
ASV3347	8	23	0	10	15	6
ASV477	12	13	21	9	6	19
ASV541	0	0	0	0	0	0
ASV575	0	1	1	0	0	0
ASV537	21	73	19	18	17	12
ASV553	0	0	4	0	0	0
ASV567	6	1	10	3	0	3
ASV576	0	0	0	0	0	0
ASV540	0	0	0	0	0	0
ASV549	0	0	5	0	0	1
ASV624	0	0	1	0	0	0
ASV491	1	0	1	1	0	0
ASV571	0	0	0	0	0	0
ASV572	0	0	0	1	0	0
ASV634	0	0	0	0	0	1
ASV473	12	20	17	8	0	38
ASV494	54	12	35	25	1	49
ASV583	7	10	1	2	0	215
ASV627	7	0	13	12	0	2
ASV562	0	0	0	0	0	0
ASV630	46	11	65	27	4	28
ASV654	0	0	0	0	0	0
ASV658	0	1	1	2	0	0
ASV596	2	1	5	4	0	3
ASV657	0	1	6	2	1	0
ASV607	0	0	0	1	226	0
ASV609	11	1	13	5	6	190
ASV620	16	64	55	52	33	7
ASV767	0	1	6	2	0	0
ASV2165	1	1	1	0	0	18
ASV568	1	0	1	0	0	0
ASV679	1	0	0	0	0	0
ASV725	0	0	1	0	0	0
ASV485	1	0	0	0	0	0
ASV518	6	93	48	34	66	2
ASV522	0	0	2	2	0	0
ASV558	0	0	0	3	0	0
ASV708	0	0	0	0	0	0
ASV448	46	0	28	24	2	2
ASV546	0	85	13	8	61	1
ASV554	37	2	23	17	0	1
ASV574	14	34	19	15	9	17
ASV519	56	2	75	47	0	7
ASV5333	3	3	4	2	10	12
ASV770	4	0	4	1	2	4
ASV521	0	0	0	1	0	1
ASV559	2	0	0	1	0	0
ASV573	0	3	0	0	0	0
ASV614	11	9	19	18	4	9
ASV626	0	0	0	0	0	0
ASV628	0	5	45	159	23	0
ASV492	2	0	11	8	0	0
ASV599	7	178	22	26	2	0
ASV613	2	0	3	2	0	4
ASV686	1	0	1	2	0	0
ASV602	1	1	0	0	1	3
ASV619	4	5	2	1	2	6
ASV569	48	31	23	17	16	62
ASV5772	1	7	3	0	0	52
ASV646	1	0	0	0	1	0
ASV886	0	0	1	4	0	6
ASV3089	11	1	0	11	2	0
ASV4715	7	3	0	1	2	11
ASV551	0	0	0	0	1	2
ASV555	0	3	2	3	105	0
ASV781	2	1	1	4	0	4
ASV639	24	48	26	18	23	20
ASV689	4	0	12	3	0	2
ASV632	0	0	0	0	0	1
ASV644	9	24	33	16	15	1
ASV2010	3	3	1	5	1	1
ASV534	0	1	0	0	0	0
ASV623	2	0	1	3	0	0
ASV625	0	0	0	0	0	0
ASV604	0	0	0	0	0	0
ASV641	0	1	1	1	0	0
ASV734	5	6	5	4	1	7
ASV3754	0	0	0	0	0	0
ASV520	0	0	0	0	0	0
ASV584	1	0	0	0	0	0
ASV610	3	0	4	7	2	0
ASV636	11	16	17	16	17	24
ASV684	3	0	0	2	1	0
ASV773	0	0	0	0	0	0
ASV577	61	32	29	20	9	43
ASV680	2	0	2	1	0	2
ASV580	0	0	1	0	0	0
ASV750	0	0	5	2	0	0
ASV1466	5	2	0	3	1	1
ASV1945	0	0	0	0	0	1
ASV2762	7	29	1	15	9	8
ASV5488	0	0	1	0	0	5
ASV645	11	16	42	28	9	6
ASV692	2	3	5	3	11	99
ASV869	2	6	3	4	15	14
ASV611	12	0	8	8	0	2
ASV2049	4	0	0	0	0	0
ASV585	0	0	0	0	0	0
ASV595	4	1	8	8	0	2
ASV703	2	0	0	3	2	0
ASV772	11	0	7	8	0	1
ASV564	0	0	0	1	0	1
ASV670	14	11	24	14	7	5
ASV5848	2	0	0	0	1	0
ASV724	0	0	0	0	0	0
ASV884	4	1	0	2	1	0
ASV3643	0	0	0	0	0	0
ASV633	1	0	0	0	1	2
ASV495	1	4	2	2	2	0
ASV538	15	4	21	17	22	9
ASV593	1	2	0	2	0	17
ASV648	0	1	0	0	0	0
ASV650	2	1	16	4	0	159
ASV716	0	0	0	1	0	0
ASV615	52	7	68	39	9	25
ASV659	0	68	49	41	57	1
ASV801	53	9	44	23	10	7
ASV601	1	3	9	7	9	2
ASV783	2	0	5	5	1	0
ASV4242	13	11	2	9	12	4
ASV533	2	18	9	10	27	20
ASV582	0	0	0	0	1	0
ASV664	1	0	0	2	0	0
ASV913	3	0	8	6	0	0
ASV1551	2	4	1	1	0	2
ASV579	1	1	14	7	0	1
ASV672	4	7	2	2	2	8
ASV1842	0	2	0	1	0	2
ASV655	10	2	24	20	0	3
ASV706	0	0	0	0	0	0
ASV730	1	0	7	4	0	0
ASV647	0	0	1	1	1	1
ASV669	2	3	9	2	2	0
ASV736	0	0	0	0	0	1
ASV799	0	9	6	8	4	0
ASV530	4	74	29	11	58	0
ASV578	1	0	0	0	0	0
ASV710	0	43	12	10	111	4
ASV769	0	0	2	0	0	1
ASV515	0	0	0	0	0	0
ASV797	29	3	63	45	1	1
ASV5381	5	5	4	4	1	15
ASV629	0	0	0	0	0	0
ASV631	0	0	0	0	0	0
ASV637	1	0	0	0	0	0
ASV666	18	8	17	13	9	64
ASV683	2	25	33	8	37	1
ASV701	12	43	18	14	60	47
ASV673	2	1	8	7	12	0
ASV1135	0	0	0	1	1	0
ASV589	0	0	0	0	0	0
ASV687	2	0	6	0	0	0
ASV5026	0	1	0	0	1	1
ASV594	12	20	7	5	2	41
ASV603	15	0	41	28	1	5
ASV622	13	12	12	7	20	27
ASV737	5	9	4	15	109	1
ASV1830	3	0	2	4	5	0
ASV1069	1	6	0	6	20	10
ASV4788	7	0	1	9	1	8
ASV661	8	0	17	16	0	0
ASV901	10	33	21	6	9	96
ASV608	2	24	35	2	34	9
ASV717	13	19	14	13	8	12
ASV824	0	0	2	1	0	0
ASV852	3	0	9	4	0	3
ASV1000	0	1	0	0	0	0
ASV588	0	0	0	0	0	0
ASV598	31	58	28	12	9	11
ASV693	1	0	3	0	0	1
ASV748	3	2	15	7	2	4
ASV932	31	7	15	11	4	55
