	LW.1
ASV1894	3
ASV1969	36
ASV2019	7
ASV2038	3
ASV2817	3
ASV3158	0
ASV3554	2
ASV1465	0
ASV1488	0
ASV1496	3
ASV1553	0
ASV1642	17
ASV1654	0
ASV1698	1
ASV1699	2
ASV1718	11
ASV1790	2
ASV1798	1
ASV1811	6
ASV1929	0
ASV1950	0
ASV2741	1
ASV3169	3
ASV1349	0
ASV1478	1
ASV1504	19
ASV1550	28
ASV1573	1
ASV1600	1
ASV1657	3
ASV1670	0
ASV1677	5
ASV1700	0
ASV1731	1
ASV1768	0
ASV1868	20
ASV1873	1
ASV1895	1
ASV1937	0
ASV1966	0
ASV1996	0
ASV2048	0
ASV2073	1
ASV2130	5
ASV2217	8
ASV2975	0
ASV1302	0
ASV1320	0
ASV1464	2
ASV1481	0
ASV1572	0
ASV1591	0
ASV1614	0
ASV1656	0
ASV1679	3
ASV1684	2
ASV1783	43
ASV1801	0
ASV1828	1
ASV1876	1
ASV1912	0
ASV1955	0
ASV2284	0
ASV2423	0
ASV2435	7
ASV2567	1
ASV3917	4
ASV3959	7
ASV4333	1
ASV5172	5
ASV1470	2
ASV1682	0
ASV1686	3
ASV1706	55
ASV1737	0
ASV1871	1
ASV1997	4
ASV2161	0
ASV2176	6
ASV2354	5
ASV2573	1
ASV2675	0
ASV2697	2
ASV3038	9
ASV3713	0
ASV3863	4
ASV4758	0
ASV1491	1
ASV1498	1
ASV1500	1
ASV1528	10
ASV1578	0
ASV1599	0
ASV1636	0
ASV1649	0
ASV1729	0
ASV1963	1
ASV1970	23
ASV2013	4
ASV2046	3
ASV2076	0
ASV2179	1
ASV2242	0
ASV2485	6
ASV2533	0
ASV2658	7
ASV2785	1
ASV4110	4
ASV4273	9
ASV4999	6
ASV5651	2
ASV5660	0
ASV1414	0
ASV1457	8
ASV1560	22
ASV1582	0
ASV1617	2
ASV1633	2
ASV1638	0
ASV1639	0
ASV1668	12
ASV1727	0
ASV1773	39
ASV1780	0
ASV1794	6
ASV1800	2
ASV1822	0
ASV1834	1
ASV1878	9
ASV1891	2
ASV1904	0
ASV1911	2
ASV2116	20
ASV2312	6
ASV2356	24
ASV2409	0
ASV2472	0
ASV2568	10
ASV2698	1
ASV3167	0
ASV4008	2
ASV1479	0
ASV1655	1
ASV1689	6
ASV1708	7
ASV1720	0
ASV1722	0
ASV1743	2
ASV1786	0
ASV1813	8
ASV1835	2
ASV1880	0
ASV1919	0
ASV2041	0
ASV2043	0
ASV2056	1
ASV2063	2
ASV2216	2
ASV2221	1
ASV2304	1
ASV2385	0
ASV2393	0
ASV2979	0
ASV4302	1
ASV1545	1
ASV1577	6
ASV1606	17
ASV1635	4
ASV1713	1
ASV1719	2
ASV1750	0
ASV1770	0
ASV1796	1
ASV1818	0
ASV1856	1
ASV1870	0
ASV1888	0
ASV1928	15
ASV1939	4
ASV2436	3
ASV2442	5
ASV2870	1
ASV1596	1
ASV1612	0
ASV1623	4
ASV1676	0
ASV1697	1
ASV1817	3
ASV1840	0
ASV1930	0
ASV1958	0
ASV2037	0
ASV2104	0
ASV2260	0
ASV2481	0
ASV2604	0
ASV2672	1
ASV2722	3
ASV2730	0
ASV2951	15
ASV2956	10
ASV4616	0
ASV1544	1
ASV1632	0
ASV1652	0
ASV1701	0
ASV1779	0
ASV1803	0
ASV1809	16
ASV1872	2
ASV1884	0
ASV1886	1
ASV1925	1
ASV2007	4
ASV2024	3
ASV2117	0
ASV2160	0
ASV2250	1
ASV2255	0
ASV2338	0
ASV2453	0
ASV2593	0
ASV2621	2
ASV2626	3
ASV3240	0
ASV4569	5
ASV4604	0
ASV4764	0
ASV1472	0
ASV1616	0
ASV1659	6
ASV1667	6
ASV1705	0
ASV1732	0
ASV1764	0
ASV1784	0
ASV1820	20
ASV1832	4
ASV1909	10
ASV1934	1
ASV1956	14
ASV2004	0
ASV2035	2
ASV2107	9
ASV2337	2
ASV2545	31
ASV2614	0
ASV2646	6
ASV2737	0
ASV3377	0
ASV3500	0
ASV3626	1
ASV3910	1
ASV1547	5
ASV1548	0
ASV1567	1
ASV1622	3
ASV1662	0
ASV1671	0
ASV1755	2
ASV1805	0
ASV1826	0
ASV1844	0
ASV1865	2
ASV1875	10
ASV1899	1
ASV1907	1
ASV1936	0
ASV1961	0
ASV1971	4
ASV1973	4
ASV2021	0
ASV2029	0
ASV2051	0
ASV2057	2
ASV2094	17
ASV2170	0
ASV2174	0
ASV2306	6
ASV2758	0
ASV2867	0
ASV3449	0
ASV3521	1
ASV3644	0
ASV3768	0
ASV5066	0
ASV1482	0
ASV1565	0
ASV1637	0
ASV1688	0
ASV1738	0
ASV1771	1
ASV1838	1
ASV1839	0
ASV1874	0
ASV1960	0
ASV2002	27
ASV2054	0
ASV2081	0
ASV2166	6
ASV2271	1
ASV2344	1
ASV2546	6
ASV2765	4
ASV3018	0
ASV3297	1
ASV3680	0
ASV3982	5
ASV1523	0
ASV1598	4
ASV1660	6
ASV1693	1
ASV1758	13
ASV1762	0
ASV1788	0
ASV1833	3
ASV1836	0
ASV1949	10
ASV2000	7
ASV2088	2
ASV2089	4
ASV2301	0
ASV2443	14
ASV4854	3
ASV1566	0
ASV1648	0
ASV1680	9
ASV1683	22
ASV1709	0
ASV1741	3
ASV1808	3
ASV1810	0
ASV1924	0
ASV1932	0
ASV1933	0
ASV1975	14
ASV1998	1
ASV2062	2
ASV2070	1
ASV2079	4
ASV2080	10
ASV2283	3
ASV2360	6
ASV2459	13
ASV2500	0
ASV3065	0
ASV3168	22
ASV3693	1
ASV3842	0
ASV4069	1
ASV5049	2
ASV5210	4
ASV1690	9
ASV1749	8
ASV1792	1
ASV1814	3
ASV1869	0
ASV1917	0
ASV1981	5
ASV2067	2
ASV2093	0
ASV2098	15
ASV2131	0
ASV2146	4
ASV2150	6
ASV2251	28
ASV2277	3
ASV2668	19
ASV2716	3
ASV2801	2
ASV3087	0
ASV3313	1
ASV3352	9
ASV3517	0
ASV4206	3
ASV4639	2
ASV5394	5
ASV5574	4
ASV5756	0
ASV1613	3
ASV1653	41
ASV1673	0
ASV1695	5
ASV1748	0
ASV1824	7
ASV1906	2
ASV1959	0
ASV1965	6
ASV2118	6
ASV2212	1
ASV2276	12
ASV2300	5
ASV2366	0
ASV2446	0
ASV2450	1
ASV2452	5
ASV2523	2
ASV2582	2
ASV2647	35
ASV2766	2
ASV2837	0
ASV3246	2
ASV3316	3
ASV3414	0
ASV4400	14
ASV5841	0
ASV1579	0
ASV1661	16
ASV1694	0
ASV1752	0
ASV1802	0
ASV1887	6
ASV1908	2
ASV1918	1
ASV1926	8
ASV1935	0
ASV1953	0
ASV1976	0
ASV2030	4
ASV2055	2
ASV2108	1
ASV2135	8
ASV2154	2
ASV2225	2
ASV2433	0
ASV2439	0
ASV2508	14
ASV2795	1
ASV2841	0
ASV2852	1
ASV2997	0
ASV3163	27
ASV3362	1
ASV3876	9
ASV4097	4
ASV4326	4
ASV1510	0
ASV1663	0
ASV1687	0
ASV1815	0
ASV1861	0
ASV1922	0
ASV1940	0
ASV1942	0
ASV1990	2
ASV2005	0
ASV2044	0
ASV2058	6
ASV2085	1
ASV2097	1
ASV2134	0
ASV2136	0
ASV2156	5
ASV2180	0
ASV2188	0
ASV2274	5
ASV2292	3
ASV2455	0
ASV2654	11
ASV2711	3
ASV3048	1
ASV3328	0
ASV3446	0
ASV3931	5
ASV4106	0
ASV4130	3
ASV4694	0
ASV5422	3
ASV1627	0
ASV1739	0
ASV1756	1
ASV1807	1
ASV1849	0
ASV1863	2
ASV1979	8
ASV2015	0
ASV2025	2
ASV2027	2
ASV2034	7
ASV2106	2
ASV2126	1
ASV2138	3
ASV2152	2
ASV2232	4
ASV2254	0
ASV2268	3
ASV2269	11
ASV2309	2
ASV2341	0
ASV2367	1
ASV2388	0
ASV2461	2
ASV2521	2
ASV2807	0
ASV3084	1
ASV3438	2
ASV3800	0
ASV4131	2
ASV4208	0
ASV5041	2
ASV1711	0
ASV1782	0
ASV1795	0
ASV1823	1
ASV1846	3
ASV1848	0
ASV1867	0
ASV2045	0
ASV2084	3
ASV2115	0
ASV2128	0
ASV2147	4
ASV2331	1
ASV2349	16
ASV2413	0
ASV2617	0
ASV2665	2
ASV2798	0
ASV2822	0
ASV3041	0
ASV3597	2
ASV4024	4
ASV4363	1
ASV4382	0
ASV4513	0
ASV5029	1
ASV5427	3
ASV1675	1
ASV1767	0
ASV1850	1
ASV1980	1
ASV1984	0
ASV1988	1
ASV2031	0
ASV2042	3
ASV2047	0
ASV2065	0
ASV2111	5
ASV2219	4
ASV2224	0
ASV2226	0
ASV2228	0
ASV2261	3
ASV2305	1
ASV2321	1
ASV2369	3
ASV2400	1
ASV2417	0
ASV2476	0
ASV2561	1
ASV2637	0
ASV2782	13
ASV2819	15
ASV2924	3
ASV3189	0
ASV3231	17
ASV3314	5
ASV3756	7
ASV4046	0
ASV4404	0
ASV4414	0
ASV4435	2
ASV1725	0
ASV1751	7
ASV1837	2
ASV1851	0
ASV1916	15
ASV1923	1
ASV2052	0
ASV2122	6
ASV2127	0
ASV2162	0
ASV2164	3
ASV2191	0
ASV2197	1
ASV2248	5
ASV2297	4
ASV2347	6
ASV2425	15
ASV2480	15
ASV2699	2
ASV2719	8
ASV2743	2
ASV2751	3
ASV2963	3
ASV3707	0
ASV3791	2
ASV4111	0
ASV4373	3
ASV5082	0
ASV5311	1
ASV5409	7
ASV5786	0
ASV1726	2
ASV1855	0
ASV1954	0
ASV2020	0
ASV2032	0
ASV2077	6
ASV2298	15
ASV2318	0
ASV2336	3
ASV2395	0
ASV2438	6
ASV2456	2
ASV2498	38
ASV2513	1
ASV2522	1
ASV2527	4
ASV2676	0
ASV2729	1
ASV2781	3
ASV2983	0
ASV3062	0
ASV3070	0
ASV3586	0
ASV3718	0
ASV3856	1
ASV4007	1
ASV4088	1
ASV4378	4
ASV4796	13
ASV5178	1
ASV1864	0
ASV1866	2
ASV1883	27
ASV1920	10
ASV1931	1
ASV2078	0
ASV2167	1
ASV2169	0
ASV2196	5
ASV2198	1
ASV2206	2
ASV2207	2
ASV2211	0
ASV2252	0
ASV2273	0
ASV2303	2
ASV2328	3
ASV2329	0
ASV2334	2
ASV2340	2
ASV2376	2
ASV2468	0
ASV2514	0
ASV2570	0
ASV2710	3
ASV2767	0
ASV2840	0
ASV2847	15
ASV2985	1
ASV3129	0
ASV3304	1
ASV3341	2
ASV3650	6
ASV4100	1
ASV4703	4
ASV5432	4
ASV1862	0
ASV1938	2
ASV1982	0
ASV2014	0
ASV2071	1
ASV2086	0
ASV2101	8
ASV2113	0
ASV2210	4
ASV2245	0
ASV2264	4
ASV2266	0
ASV2302	18
ASV2466	8
ASV2556	3
ASV2594	5
ASV2680	1
ASV2901	2
ASV2960	0
ASV3609	6
ASV4534	0
ASV5305	0
ASV1797	1
ASV1843	0
ASV1910	1
ASV1948	3
ASV1987	2
ASV2003	4
ASV2012	6
ASV2095	34
ASV2105	6
ASV2119	0
ASV2133	0
ASV2257	0
ASV2262	31
ASV2335	0
ASV2389	0
ASV2445	0
ASV2492	2
ASV2574	3
ASV2591	0
ASV2630	0
ASV2712	16
ASV2763	0
ASV2921	2
ASV2925	4
ASV3069	0
ASV3090	27
ASV3154	4
ASV3157	4
ASV3229	3
ASV3546	0
ASV4003	1
ASV5095	1
ASV5598	0
ASV1753	0
ASV1829	4
ASV1890	1
ASV1893	0
ASV1901	0
ASV2061	7
ASV2072	0
ASV2074	2
ASV2083	0
ASV2125	4
ASV2129	0
ASV2148	0
ASV2184	0
ASV2205	7
ASV2247	0
ASV2258	0
ASV2348	4
ASV2407	1
ASV2510	1
ASV2571	0
ASV2627	0
ASV2690	0
ASV2769	2
ASV2922	0
ASV3054	0
ASV3110	2
ASV3198	3
ASV3467	4
ASV3491	0
ASV4114	1
ASV1787	0
ASV1819	0
ASV1854	0
ASV1900	0
ASV1944	0
ASV1967	0
ASV1999	0
ASV2120	0
ASV2168	21
ASV2190	2
ASV2194	0
ASV2234	2
ASV2246	2
ASV2249	5
ASV2373	0
ASV2401	7
ASV2421	0
ASV2488	11
ASV2528	0
ASV2611	0
ASV2707	2
ASV2713	8
ASV2848	1
ASV2866	21
ASV2886	0
ASV2918	0
ASV2939	5
ASV3036	1
ASV3122	0
ASV3164	0
ASV3248	9
ASV3252	0
ASV3531	0
ASV3567	3
ASV3683	0
ASV3888	3
ASV3903	0
ASV3977	3
ASV4150	0
ASV4555	2
ASV4745	0
ASV4768	1
ASV4975	3
ASV5059	2
ASV5295	0
ASV5648	6
ASV1841	0
ASV1860	0
ASV1882	0
ASV1921	3
ASV2001	1
ASV2022	0
ASV2068	1
ASV2090	0
ASV2110	5
ASV2172	1
ASV2186	0
ASV2199	17
ASV2238	0
ASV2253	0
ASV2279	0
ASV2324	0
ASV2342	0
ASV2346	0
ASV2375	6
ASV2398	13
ASV2469	0
ASV2562	0
ASV2625	1
ASV2655	0
ASV2714	0
ASV2928	0
ASV3144	4
ASV3161	0
ASV3177	0
ASV3289	0
ASV3330	1
ASV3425	1
ASV4754	10
ASV4848	0
ASV4896	5
ASV5106	2
ASV1847	11
ASV1905	0
ASV2009	0
ASV2018	2
ASV2099	1
ASV2143	1
ASV2203	17
ASV2222	0
ASV2237	6
ASV2289	6
ASV2294	0
ASV2358	27
ASV2380	0
ASV2396	1
ASV2405	0
ASV2487	0
ASV2490	11
ASV2505	4
ASV2540	17
ASV2620	1
ASV2633	10
ASV2739	0
ASV2789	0
ASV3002	2
ASV3035	0
ASV3059	0
ASV3109	4
ASV3116	5
ASV3180	0
ASV3301	1
ASV3551	20
ASV3804	7
ASV4137	1
ASV4274	10
ASV4462	2
ASV4698	4
ASV1957	4
ASV2023	3
ASV2033	0
ASV2144	0
ASV2145	6
ASV2151	4
ASV2153	0
ASV2310	4
ASV2317	2
ASV2353	0
ASV2406	6
ASV2419	3
ASV2422	7
ASV2424	0
ASV2447	0
ASV2463	0
ASV2509	0
ASV2515	0
ASV2531	2
ASV2555	0
ASV2559	0
ASV2615	0
ASV2648	0
ASV2661	10
ASV2734	9
ASV2746	0
ASV2748	0
ASV2755	0
ASV2792	0
ASV2810	0
ASV2812	4
ASV2831	0
ASV2885	2
ASV3019	1
ASV3088	0
ASV3216	1
ASV3225	2
ASV3285	5
ASV3454	19
ASV3471	5
ASV3503	2
ASV3648	2
ASV3787	2
ASV4129	1
ASV4186	2
ASV4207	0
ASV4419	1
ASV4541	5
ASV4672	2
ASV4731	3
ASV4977	0
ASV5138	3
ASV5216	0
ASV5344	1
ASV5920	0
ASV1897	0
ASV1991	3
ASV2050	1
ASV2123	0
ASV2209	8
ASV2296	0
ASV2339	0
ASV2363	0
ASV2368	8
ASV2391	0
ASV2402	0
ASV2403	1
ASV2414	1
ASV2437	2
ASV2550	0
ASV2586	0
ASV2590	6
ASV2603	3
ASV2644	3
ASV2670	0
ASV2715	0
ASV2773	0
ASV2830	27
ASV2876	3
ASV2933	0
ASV2968	0
ASV3033	0
ASV3197	0
ASV3223	17
ASV3422	0
ASV3516	3
ASV3655	0
ASV3689	2
ASV3794	0
ASV3950	0
ASV3970	3
ASV4093	7
ASV4143	0
ASV4459	0
ASV4581	11
ASV4659	0
ASV4767	0
ASV5293	0
ASV5708	1
ASV1775	2
ASV1968	0
ASV2006	0
ASV2040	2
ASV2060	1
ASV2112	0
ASV2140	0
ASV2157	0
ASV2195	0
ASV2201	0
ASV2202	17
ASV2241	1
ASV2244	3
ASV2278	2
ASV2307	9
ASV2314	0
ASV2355	2
ASV2408	0
ASV2431	7
ASV2483	1
ASV2596	0
ASV2629	4
ASV2632	5
ASV2634	0
ASV2718	0
ASV2738	7
ASV2756	0
ASV2836	0
ASV2843	0
ASV2880	0
ASV2881	15
ASV2900	3
ASV2934	3
ASV2969	5
ASV2986	1
ASV3014	3
ASV3081	1
ASV3183	0
ASV3254	2
ASV3273	1
ASV3279	0
ASV3294	1
ASV3428	0
ASV3744	1
ASV4180	4
ASV4254	17
ASV4316	0
ASV4490	0
ASV5197	0
ASV5346	2
ASV5655	0
ASV1913	0
ASV2016	0
ASV2075	0
ASV2142	0
ASV2149	0
ASV2193	0
ASV2215	11
ASV2265	0
ASV2267	0
ASV2275	2
ASV2293	0
ASV2357	0
ASV2429	0
ASV2462	1
ASV2479	6
ASV2525	11
ASV2535	0
ASV2541	0
ASV2612	1
ASV2639	5
ASV2704	0
ASV2786	0
ASV2797	1
ASV2815	2
ASV2825	1
ASV2844	2
ASV2869	1
ASV2895	2
ASV3020	1
ASV3155	1
ASV3190	1
ASV3475	1
ASV3588	1
ASV3606	0
ASV3617	1
ASV3622	1
ASV3684	1
ASV3743	2
ASV4095	5
ASV4177	0
ASV4189	4
ASV4250	0
ASV4515	2
ASV4596	5
ASV4680	2
ASV5787	0
ASV1951	1
ASV2011	0
ASV2053	2
ASV2183	0
ASV2231	0
ASV2235	0
ASV2236	10
ASV2285	0
ASV2343	0
ASV2374	2
ASV2387	1
ASV2390	0
ASV2397	0
ASV2464	0
ASV2482	0
ASV2497	2
ASV2536	6
ASV2537	8
ASV2542	0
ASV2565	13
ASV2584	0
ASV2628	2
ASV2662	4
ASV2686	0
ASV2688	6
ASV2759	2
ASV2784	1
ASV2813	2
ASV2818	0
ASV2864	4
ASV2892	1
ASV2897	2
ASV2899	1
ASV2936	0
ASV2966	4
ASV3003	0
ASV3010	1
ASV3025	2
ASV3086	4
ASV3181	0
ASV3204	0
ASV3221	0
ASV3293	0
ASV3410	0
ASV3497	0
ASV3573	0
ASV3596	0
ASV4237	0
ASV4343	0
ASV4858	20
ASV5012	0
ASV5437	5
ASV5830	1
ASV5927	0
ASV5950	1
ASV2137	0
ASV2141	0
ASV2230	1
ASV2239	2
ASV2256	0
ASV2259	1
ASV2286	0
ASV2327	1
ASV2365	0
ASV2493	3
ASV2496	0
ASV2499	3
ASV2524	0
ASV2651	0
ASV2681	1
ASV2706	0
ASV2745	1
ASV2779	1
ASV2860	9
ASV2878	0
ASV2920	0
ASV2998	0
ASV3071	0
ASV3083	8
ASV3117	1
ASV3146	0
ASV3151	1
ASV3308	9
ASV3434	1
ASV3473	1
ASV3539	1
ASV3580	0
ASV3758	1
ASV3877	1
ASV4078	3
ASV4118	0
ASV4124	7
ASV4175	7
ASV4184	7
ASV4504	2
ASV4944	6
ASV5151	1
ASV5189	1
ASV2069	1
ASV2159	0
ASV2227	0
ASV2316	0
ASV2325	0
ASV2332	0
ASV2371	0
ASV2372	0
ASV2378	0
ASV2399	3
ASV2428	6
ASV2471	0
ASV2474	5
ASV2489	1
ASV2495	0
ASV2539	0
ASV2543	6
ASV2547	1
ASV2554	0
ASV2558	0
ASV2563	0
ASV2569	8
ASV2576	0
ASV2578	0
ASV2656	12
ASV2702	0
ASV2826	0
ASV2984	0
ASV2995	3
ASV3050	1
ASV3093	0
ASV3140	0
ASV3179	0
ASV3312	1
ASV3326	19
ASV3375	0
ASV3403	0
ASV3426	0
ASV3427	1
ASV3510	1
ASV3601	1
ASV3616	8
ASV3632	4
ASV3845	1
ASV4198	0
ASV4737	4
ASV4822	5
ASV5134	0
ASV5161	4
ASV5234	5
ASV5303	0
ASV5393	0
ASV5419	0
ASV5622	9
ASV5709	3
ASV5823	1
ASV2082	0
ASV2096	3
ASV2132	3
ASV2200	0
ASV2214	0
ASV2281	0
ASV2295	0
ASV2313	0
ASV2377	1
ASV2441	17
ASV2470	5
ASV2502	1
ASV2507	0
ASV2606	0
ASV2693	3
ASV2695	3
ASV2735	0
ASV2742	0
ASV2757	16
ASV2780	0
ASV2821	0
ASV2917	0
ASV2946	4
ASV2952	13
ASV3001	1
ASV3049	0
ASV3064	3
ASV3135	0
ASV3196	0
ASV3230	0
ASV3243	0
ASV3250	0
ASV3307	0
ASV3334	2
ASV3355	1
ASV3423	3
ASV3430	0
ASV3489	0
ASV3505	1
ASV3593	10
ASV3636	4
ASV3667	0
ASV3674	7
ASV3677	3
ASV3785	0
ASV3818	0
ASV3826	0
ASV3883	0
ASV3975	1
ASV4434	1
ASV4774	2
ASV4801	0
ASV4803	2
ASV4815	10
ASV4883	2
ASV5252	2
ASV5468	1
ASV5542	6
ASV5664	1
ASV5842	1
ASV2181	0
ASV2311	0
ASV2320	0
ASV2345	1
ASV2351	1
ASV2364	1
ASV2381	15
ASV2415	8
ASV2416	5
ASV2432	1
ASV2458	0
ASV2467	6
ASV2475	0
ASV2484	0
ASV2494	0
ASV2504	1
ASV2526	0
ASV2529	2
ASV2548	3
ASV2553	1
ASV2624	1
ASV2642	2
ASV2657	5
ASV2659	0
ASV2664	2
ASV2673	0
ASV2674	0
ASV2687	0
ASV2689	0
ASV2733	2
ASV2750	2
ASV2816	0
ASV2839	0
ASV2858	0
ASV2926	11
ASV2931	3
ASV3005	0
ASV3032	0
ASV3056	0
ASV3075	2
ASV3092	1
ASV3102	0
ASV3136	0
ASV3199	3
ASV3201	9
ASV3233	2
ASV3245	0
ASV3253	0
ASV3302	1
ASV3374	0
ASV3388	6
ASV3458	5
ASV3526	0
ASV3629	11
ASV3741	6
ASV3745	0
ASV3821	0
ASV3858	0
ASV3928	0
ASV4128	3
ASV4217	6
ASV4263	0
ASV4399	0
ASV4446	2
ASV4472	1
ASV4533	0
ASV4552	2
ASV4565	0
ASV4618	1
ASV4628	1
ASV4777	1
ASV4922	0
ASV4996	3
ASV5006	4
ASV5484	2
ASV5768	0
ASV2121	1
ASV2163	0
ASV2192	8
ASV2272	0
ASV2412	0
ASV2434	0
ASV2478	0
ASV2566	4
ASV2592	2
ASV2609	0
ASV2619	0
ASV2636	6
ASV2638	1
ASV2682	0
ASV2731	0
ASV2764	0
ASV2768	3
ASV2794	0
ASV2800	4
ASV2820	0
ASV2868	0
ASV2914	1
ASV2932	0
ASV2954	0
ASV2955	3
ASV2967	0
ASV3007	1
ASV3017	0
ASV3024	2
ASV3029	0
ASV3052	0
ASV3203	0
ASV3283	1
ASV3299	1
ASV3311	1
ASV3318	0
ASV3340	0
ASV3364	0
ASV3712	2
ASV3893	4
ASV3986	2
ASV4001	2
ASV4048	3
ASV4075	5
ASV4116	0
ASV4632	0
ASV4739	2
ASV4784	1
ASV4823	23
ASV5514	0
ASV5817	9
ASV2109	2
ASV2171	0
ASV2350	0
ASV2473	7
ASV2501	0
ASV2517	1
ASV2544	0
ASV2575	6
ASV2580	0
ASV2581	2
ASV2587	14
ASV2600	0
ASV2640	0
ASV2649	1
ASV2872	2
ASV2896	0
ASV2909	7
ASV2950	1
ASV2982	4
ASV3021	1
ASV3037	2
ASV3043	0
ASV3101	3
ASV3142	0
ASV3220	0
ASV3263	0
ASV3317	0
ASV3395	0
ASV3469	2
ASV3499	3
ASV3525	0
ASV3564	0
ASV3652	1
ASV3654	1
ASV3711	0
ASV3731	0
ASV3790	3
ASV3860	4
ASV3864	17
ASV3915	2
ASV3926	0
ASV4015	1
ASV4051	1
ASV4238	0
ASV4259	0
ASV4314	0
ASV4319	8
ASV4352	0
ASV4422	1
ASV4427	1
ASV4543	2
ASV5087	0
ASV5253	0
ASV5649	0
ASV5854	1
ASV5872	3
ASV2233	0
ASV2315	0
ASV2382	0
ASV2418	0
ASV2420	0
ASV2512	7
ASV2516	0
ASV2588	1
ASV2691	2
ASV2724	3
ASV2725	0
ASV2732	0
ASV2783	1
ASV2803	0
ASV2805	0
ASV2808	0
ASV2838	0
ASV2865	0
ASV2873	0
ASV2883	0
ASV2898	6
ASV2929	4
ASV2938	0
ASV2953	5
ASV2970	2
ASV2973	1
ASV3012	7
ASV3076	1
ASV3078	2
ASV3096	1
ASV3152	1
ASV3174	0
ASV3175	0
ASV3200	0
ASV3212	0
ASV3271	3
ASV3349	10
ASV3435	4
ASV3479	0
ASV3676	0
ASV3729	0
ASV3795	0
ASV3896	0
ASV4166	17
ASV4197	0
ASV4239	0
ASV4253	0
ASV4317	2
ASV4643	0
ASV4899	0
ASV5074	0
ASV5105	2
ASV5142	4
ASV5883	3
ASV2323	0
ASV2362	2
ASV2519	1
ASV2534	3
ASV2538	0
ASV2602	0
ASV2605	0
ASV2645	0
ASV2666	0
ASV2685	0
ASV2703	0
ASV2749	0
ASV2778	0
ASV2811	12
ASV2853	2
ASV2855	1
ASV2857	0
ASV2884	10
ASV2890	2
ASV2904	2
ASV2910	0
ASV2930	0
ASV2942	0
ASV2943	2
ASV2945	0
ASV2992	0
ASV3028	5
ASV3042	0
ASV3047	0
ASV3143	2
ASV3153	4
ASV3202	2
ASV3329	0
ASV3353	2
ASV3400	0
ASV3443	2
ASV3594	4
ASV3737	1
ASV3792	7
ASV3807	2
ASV3813	0
ASV3880	2
ASV3948	2
ASV3973	1
ASV3989	15
ASV4041	1
ASV4059	4
ASV4096	0
ASV4113	3
ASV4269	8
ASV4328	0
ASV4387	1
ASV4517	1
ASV4602	13
ASV4686	0
ASV4736	0
ASV4835	0
ASV5002	4
ASV5218	0
ASV5273	2
ASV5278	1
ASV5670	0
ASV5934	0
ASV2229	0
ASV2503	0
ASV2518	3
ASV2557	3
ASV2608	2
ASV2671	17
ASV2701	0
ASV2728	5
ASV2923	0
ASV2949	16
ASV2962	4
ASV3006	2
ASV3085	0
ASV3106	3
ASV3137	8
ASV3186	0
ASV3194	0
ASV3214	0
ASV3227	1
ASV3237	2
ASV3260	0
ASV3266	0
ASV3359	5
ASV3407	1
ASV3477	0
ASV3480	0
ASV3496	0
ASV3568	3
ASV3621	5
ASV3633	1
ASV3634	0
ASV3640	0
ASV3735	12
ASV3763	4
ASV3805	0
ASV3868	3
ASV3871	1
ASV3885	3
ASV3902	1
ASV3953	0
ASV3969	1
ASV4035	0
ASV4126	0
ASV4202	3
ASV4213	5
ASV4220	1
ASV4305	15
ASV4600	0
ASV4640	0
ASV4671	0
ASV4681	0
ASV4734	0
ASV4789	5
ASV4885	2
ASV4967	0
ASV4976	2
ASV5015	0
ASV5199	0
ASV5242	0
ASV5340	4
ASV5618	7
ASV5767	2
ASV5796	1
ASV2287	0
ASV2322	0
ASV2457	0
ASV2506	0
ASV2598	0
ASV2601	0
ASV2613	0
ASV2684	0
ASV2752	3
ASV2753	0
ASV2760	0
ASV2799	0
ASV2829	1
ASV2846	0
ASV2874	0
ASV2875	0
ASV2902	0
ASV2903	9
ASV2959	4
ASV2972	0
ASV2988	3
ASV3009	0
ASV3027	6
ASV3031	2
ASV3080	4
ASV3094	0
ASV3108	2
ASV3306	0
ASV3321	0
ASV3336	1
ASV3354	0
ASV3372	0
ASV3385	0
ASV3432	7
ASV3453	0
ASV3457	1
ASV3464	1
ASV3465	1
ASV3524	0
ASV3607	0
ASV3786	0
ASV3830	5
ASV3855	0
ASV4020	0
ASV4026	0
ASV4047	0
ASV4052	1
ASV4086	13
ASV4087	0
ASV4092	1
ASV4135	4
ASV4185	3
ASV4218	6
ASV4224	1
ASV4228	1
ASV4362	0
ASV4444	4
ASV4551	11
ASV4559	4
ASV4587	1
ASV4625	0
ASV4716	1
ASV4792	0
ASV4851	0
ASV5056	1
ASV5076	0
ASV5159	1
ASV5287	1
ASV5436	1
ASV5444	0
ASV5605	0
ASV5808	1
ASV5926	0
ASV2386	3
ASV2444	0
ASV2577	0
ASV2616	2
ASV2641	0
ASV2669	3
ASV2717	2
ASV2747	7
ASV2754	4
ASV2770	0
ASV2787	2
ASV2796	0
ASV2806	3
ASV2814	0
ASV2823	5
ASV2907	10
ASV2911	2
ASV2912	23
ASV2993	8
ASV3004	4
ASV3068	0
ASV3074	0
ASV3113	0
ASV3125	0
ASV3147	0
ASV3159	1
ASV3160	2
ASV3211	2
ASV3213	2
ASV3235	1
ASV3259	5
ASV3280	6
ASV3303	0
ASV3332	0
ASV3357	2
ASV3396	1
ASV3419	0
ASV3487	1
ASV3493	2
ASV3536	1
ASV3561	3
