OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV756	Fungi	Chytridiomycota	Lobulomycetes	Lobulomycetales	Unassigned	Unassigned	Unassigned
ASV616	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV624	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Unassigned	Unassigned	Unassigned
ASV640	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV708	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Unassigned	Unassigned	Unassigned
ASV712	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Unassigned	Unassigned
ASV718	Fungi	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Rhizophlyctidaceae	Rhizophlyctis	Rhizophlyctis_sp
ASV752	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Unassigned	Unassigned
ASV804	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Thanatephorus	Unassigned
ASV825	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor_circinelloides
ASV1206	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV1394	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Unassigned	Unassigned
ASV648	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV655	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV662	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV754	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV981	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia_lunata
ASV1165	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Stephanosporaceae	Lindtneria	Lindtneria_sp
ASV1419	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Unassigned	Unassigned
ASV613	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus_arrhizus
ASV647	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Unassigned	Unassigned	Unassigned
