Genus	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1	All
Meyerozyma	0	0	0	0	0	0	0	0	0	0	0	0.0262	0	0	0.0196	0	0	0	0	0.0262	0	0	0	0	0	0	0	0	0	0	0.0131	0	0	0	0	0	0	0.00327	0.00327	0	0	0	0	0.2
Stemphylium	0.0164	0.0164	0	0	0.00327	0.00327	0	0.00327	0	0	0	0	0.0196	0	0.00655	0	0	0	0	0	0	0.0655	0	0	0	0	0.0164	0	0.0196	0.00655	0	0	0	0	0.0164	0.00327	0	0.0164	0.00327	0	0	0.00655	0.00982	0.2
Pulvinula	0	0	0	0	0.0131	0	0	0	0.0458	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0164	0	0	0	0.00655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0262	0.00327	0.2
Microkamienskia	0	0	0	0	0	0.0327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0524	0	0	0	0	0	0	0	0	0.102	0	0	0	0	0	0	0	0	0	0.2
Paraglomus	0	0	0	0	0	0.0164	0.00327	0	0	0	0	0.00655	0	0	0	0	0	0	0	0	0	0	0	0	0.00982	0.036	0	0	0.00327	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0.0196	0.2
Spike	17.2	31.9	52.9	25.9	31.5	39.2	40.3	57.4	43.3	48	98.4	34.4	46.5	46.3	46	78.3	84.8	77.3	66.1	88.9	89.7	76.2	23.4	75.9	90	71.1	31	36.9	29.8	53	37.9	51.1	78.3	73.7	1.53	1.18	25.9	3.88	8.24	39.2	0.531	9.25	3.76	0.2
Sarocladium	0	0	0	0	0.00655	0	0	0	0	0	0	0	0.0164	0	0	0	0	0	0	0	0	0	0.00655	0	0	0	0.00655	0	0.00982	0.00655	0.00982	0	0	0	0	0	0	0	0	0	0	0.00327	0	0.2
Rhizopus	0.00327	0	0	0.00982	0.00655	0	0	0	0.00655	0	0	0	0.0164	0	0.0622	0	0	0	0	0	0	0	0.00327	0	0	0.00327	0.00982	0.00982	0	0.00655	0.00327	0.00982	0	0	0	0.00327	0	0	0	0	0	0	0	0.2
Tarzetta	0.00982	0.00655	0.00655	0.00655	0	0.0131	0	0	0	0	0	0.0229	0.00655	0	0.00327	0	0	0	0.0295	0	0	0	0	0	0	0	0	0.0131	0.00327	0.00655	0	0.00655	0	0	0.0131	0.0164	1.28	0.77	0.0229	0.00655	0.00327	0.124	0.0131	0.2
Nigrospora	0	0	0	0.00655	0	0.00655	0	0	0.0458	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0.00982	0.0327	0	0	0	0	0.0557	0.00327	0	0	0	0	0	0	0	0	0	0.2
Neodidymelliopsis	0	0.0262	0	0	0	0	0.0393	0	0	0	0	0.0589	0.00655	0	0	0	0	0	0	0	0	0	0.0131	0	0	0	0	0.036	0	0.0196	0.0229	0	0	0	0	0	0	0.00655	0.0131	0	0	0	0.0164	0.2
Olpidium	0.00982	0.00655	0.0819	0.0491	0.0393	0.0262	0.00655	0.0786	0.0917	0.0196	0	0.0229	0	0	0.0164	0.0884	0.072	0.105	0	0.102	0	0.072	0.0131	0	0.0524	0.0393	0.0557	0.0229	0.0295	0.0196	0.0131	0.0327	0	0.0458	0	0	0	0	0	0	0	0.0229	0.00327	0.2
Polyschema	0	0	0	0	0	0.193	0	0	0	0	0	0	0	0.0131	0	0	0	0	0	0	0	0	0	0	0	0.0851	0	0	0	0	0	0	0	0	0	0	0.00655	0	0	0	0	0	0.00327	0.2
Verticillium	0	0	0	0.00327	0.0131	0.0164	0	0	0	0	0	0	0.0229	0	0	0	0	0	0	0	0	0	0.0196	0	0	0	0.0229	0	0	0	0	0	0	0	0	0.00982	0	0.0262	0.0262	0	0.206	0	0	0.2
