Genus	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
MWH-UniP1_aquatic_group	0	0.00762	0.0114	0	0	0.0114	0.00381	0	0	0.00381	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0.00381	0.019	0.00381	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0.0
Bradyrhizobium	0.0267	0.0495	0.019	0.00762	0.0305	0	0.0152	0.0114	0.0114	0.0267	0.00381	0	0.0114	0.0114	0.00381	0.00762	0.00762	0.0152	0.0152	0.0305	0.0114	0.00762	0.00762	0.0152	0.0267	0.0152	0.019	0.0152	0.0114	0.00762	0.0152	0.0686	0.0952	0.0571	0.0724	0.0114	0.149	0.0648	0.00762	0.0
Rubritepida	0.00762	0.0114	0.00381	0	0	0.00762	0.00381	0	0	0.0114	0	0.00381	0	0	0	0	0	0	0.00381	0.00381	0.00762	0.0114	0.00381	0	0	0.00381	0.019	0.00381	0.00762	0	0	0.00762	0	0.00381	0.00762	0	0.0114	0	0.00381	0.0
Micromonospora	0.00762	0.00762	0.0152	0.0229	0.0152	0.0114	0.00381	0	0.00381	0.00762	0	0.00381	0	0	0	0	0	0	0	0.0114	0	0	0	0.019	0	0.019	0.0114	0.019	0.00381	0	0.00381	0.00381	0.00381	0.00762	0	0.0114	0.0114	0.00381	0	0.0
Myxococcus	0.019	0.0457	0.019	0	0.019	0.0114	0.0152	0.00762	0.0343	0.0152	0	0	0	0	0	0	0.00381	0	0	0.0114	0	0	0	0.0343	0.0533	0.0343	0.0343	0.0114	0.0114	0	0	0.00381	0	0.00381	0.00381	0	0.00381	0	0	0.0
Microcystis	0	0.202	0.061	0.0952	0.0533	0.0838	0.0762	0.0762	0.168	0.0876	0.0305	0.0419	0.0381	0.00762	0.00381	0.00381	0.019	0.019	0.00381	0.0571	0	0	0.00762	0.0762	0.11	0.0648	0.0419	0.08	0.061	0.00381	0.0114	0.00381	0	0	0	0	0	0	0.00381	0.0
Microcoleus	0.0267	0.00381	0	0	0.0152	0.00762	0.019	0.00762	0.0267	0.0114	0.00381	0.0152	0	0	0.00762	0	0	0	0	0.0152	0	0	0	0.00762	0.0152	0.0114	0.00762	0.00762	0.00762	0	0	0	0	0	0	0	0	0.00762	0.0762	0.0
Nitrobacter	0.0152	0.0152	0.00381	0.019	0.0229	0.0152	0.00762	0.00762	0.0114	0.0229	0.00381	0.00381	0	0	0	0	0	0	0	0.0229	0.00381	0.00381	0.0305	0.019	0.00762	0.0229	0.019	0	0.0152	0	0.0152	0.08	0.202	0.114	0.179	0.171	0.0381	0.305	0.019	0.0
Labrys	0.00762	0.00381	0	0.00762	0	0	0	0.00381	0	0.00762	0	0.00381	0	0	0	0	0	0.00381	0	0.00381	0	0	0	0.00762	0.0114	0.019	0.00381	0	0	0	0	0.00381	0	0	0.0114	0.00762	0.00381	0.00762	0	0.0
Candidatus_Chloroploca	0.019	0.0152	0.0152	0	0.00381	0.00381	0	0	0	0.00762	0	0	0	0	0	0	0	0	0	0.0114	0	0.00381	0	0.019	0.019	0.00762	0.0114	0.00381	0.00762	0.00381	0	0.00381	0	0.00762	0.0114	0	0.00381	0.0229	0.0114	0.0
Kribbella	0.0114	0.0152	0.00762	0.0152	0.00762	0.019	0.019	0	0	0.019	0	0	0.00381	0	0	0	0.00762	0	0	0.019	0	0	0	0.0114	0.0152	0.0152	0.0152	0.00381	0.0229	0	0	0.0229	0	0.00762	0.019	0.00381	0.0152	0.0229	0	0.0
Kineococcus	0	0	0.00762	0.0114	0.0152	0.0229	0.0152	0.00762	0	0.0114	0.00762	0	0.00381	0	0	0	0	0	0	0.0114	0	0	0.00381	0.00762	0.019	0.0229	0.0267	0	0.019	0	0	0	0	0.00381	0	0	0	0	0.00381	0.0
Siphonobacter	0.00762	0.00762	0	0	0.00381	0	0	0	0	0.00381	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0.00762	0.00381	0	0.00381	0	0	0.00762	0	0.00762	0.00762	0	0	0	0.0381	0.0
Sediminibacterium	0.00381	0.0114	0.0152	0	0.00381	0.00381	0.00381	0	0	0.0152	0	0	0	0	0	0	0	0	0	0.0152	0	0	0	0.0152	0.00762	0.00762	0.00381	0.00381	0.00381	0	0	0	0	0	0.0381	0	0	0.00381	0	0.0
Lysinibacillus	0	0.0114	0.0114	0.0495	0.0419	0.0305	0.0457	0.0152	0.00762	0.019	0.0114	0.0152	0	0	0	0	0.00381	0	0	0.0267	0	0	0	0.0267	0.0495	0.0495	0.0495	0.0305	0.0571	0	0	0.0114	0.00381	0	0	0	0	0.00762	0.122	0.0
Limnobacter	0.0114	0.0114	0.0114	0.00762	0.00381	0.0152	0.00381	0	0.00381	0.0114	0.00381	0	0.00762	0.00381	0.00762	0.0152	0	0.019	0.0114	0.00762	0.00762	0.0267	0.0152	0.019	0.00762	0.0305	0.00762	0.019	0.00762	0.00762	0	0.00381	0	0	0	0	0	0.0114	0.00762	0.0
Reichenbachiella	0.0381	0.0114	0.00762	0.00381	0.00762	0.00381	0	0	0	0	0	0	0	0.00381	0	0	0	0.00381	0	0	0	0.00381	0	0	0.00381	0.00381	0	0.00381	0.00381	0	0	0.0114	0.0495	0.00381	0.00381	0.0114	0.0152	0.0381	0.00381	0.0
Pseudarcicella	0.00762	0.0495	0.00762	0.019	0.0114	0.0114	0.0114	0.00381	0	0.0152	0	0.00381	0	0	0	0	0	0	0	0.0381	0	0	0	0.00381	0.0229	0.0114	0.019	0.0114	0.0114	0	0	0	0	0	0	0	0	0	0	0.0
Rhizocola	0.00381	0.00381	0.00381	0.00381	0.00762	0	0	0	0	0.00762	0.00381	0	0	0	0	0	0	0	0	0.0114	0	0	0	0	0.00381	0.00762	0.00762	0.00381	0.00381	0	0	0	0	0.00381	0	0	0	0	0	0.0
Rathayibacter	0.00381	0.0152	0.00381	0.0114	0.00762	0.019	0.00381	0.00381	0	0.00381	0.0114	0	0	0	0	0.00381	0	0	0	0.00381	0.00381	0.00381	0	0.00762	0.00762	0.00762	0.0114	0.019	0.0114	0.00381	0	0.00762	0	0.0114	0.0229	0	0.00762	0.00762	0.00762	0.0
Ramlibacter	0.0267	0.0419	0.00762	0.0114	0.00381	0.00381	0.019	0.019	0	0.0343	0	0	0	0	0	0.00381	0	0.00762	0	0.0381	0	0	0	0.00381	0.0305	0.019	0.0267	0.019	0.00381	0	0	0.0343	0.16	0.0343	0.0381	0.145	0.0305	0.0381	0.00381	0.0
unidentified_eubacterium_LD29	0	0.0419	0.0229	0.0152	0.0152	0.0114	0.0114	0.0267	0.0419	0.0305	0	0	0.00381	0	0	0	0.00762	0	0	0.0381	0.00762	0.00381	0.0152	0.0381	0.0495	0.0229	0.0152	0.019	0.0267	0.00381	0	0	0	0.00762	0	0	0	0	0	0.0
Solimonas	0.0114	0.0152	0.00381	0.0152	0.0114	0.00762	0.0114	0	0	0.00762	0	0	0	0	0	0	0.00381	0	0	0.00762	0	0	0	0.019	0.00762	0	0.0152	0.00381	0	0	0	0	0	0	0	0	0	0.00381	0	0.0
Solitalea	0.0114	0.00381	0	0.00381	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0.0114	0	0	0	0	0	0.00762	0.00762	0	0	0	0	0	0	0	0.00381	0	0	0	0	0.0
Solibacillus	0.061	0.0457	0.08	0.0991	0.0571	0.061	0.122	0.103	0.0838	0.0229	0.0114	0.0343	0.00381	0.00381	0	0.00762	0	0.00381	0.00381	0.0305	0	0	0	0.0419	0.0457	0.0876	0.0838	0.0495	0.0724	0.00381	0	0.00762	0.00381	0.00381	0	0.0114	0	0.0114	0.411	0.0
Shimazuella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00762	0	0	0.0229	0.00762	0.0152	0.0229	0	0	0	0.0
Snowella	0	0.00381	0	0	0	0.00381	0.00381	0	0.0114	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0.00762	0	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0.0
Terrabacter	0	0.0305	0.00381	0.0114	0.0152	0.0267	0.00381	0.00762	0.00381	0.00762	0.00381	0	0	0.00381	0	0	0.00381	0.00381	0.00762	0.00762	0	0.00381	0.00381	0.0152	0.019	0.00762	0.00762	0	0.00381	0.00381	0	0	0	0.00381	0	0	0.00381	0.00381	0.00762	0.0
Spirilliplanes	0	0.00762	0.00762	0.00762	0	0	0	0.00381	0	0.00381	0.00381	0	0	0	0	0	0	0	0	0.00381	0.00381	0	0	0.00762	0.00762	0.00381	0	0	0	0	0	0	0.00381	0	0.00381	0.00762	0	0	0	0.0
Staphylococcus	0	0.00762	0.00381	0.00762	0.0152	0.00762	0	0.00381	0.00381	0.00762	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00762	0.00381	0	0.00381	0.00381	0	0	0	0	0.00381	0.00762	0	0	0	0	0.0
Spike	0.0952	1.02	0.507	0.594	0.495	0.461	0.827	1.26	3.33	1.04	0.32	0.271	0.69	0.865	0.937	0.632	0.648	0.979	0.602	0.507	0.339	0.667	0.93	0.853	0.629	0.556	0.686	0.419	0.571	0.316	0.217	0.183	0.499	0.739	0.739	1.75	0.0419	0.171	0.107	0.0
Tahibacter	0.00381	0.0114	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0.00381	0	0	0.00381	0	0.00381	0	0	0	0.0114	0.00381	0	0	0.00762	0.0457	0	0.0
Sphingosinicella	0.00381	0	0	0	0	0.00381	0	0	0	0.00381	0	0	0	0	0	0.00381	0	0	0	0	0	0	0	0.00381	0.00381	0	0	0	0	0.00381	0.00381	0.00381	0	0	0	0	0.0114	0.00381	0	0.0
Vitellibacter	0.00381	0	0	0.00381	0.00381	0	0	0	0	0.0114	0	0	0	0	0	0	0	0	0	0.0114	0.00381	0.00762	0.0114	0.00381	0	0.00381	0	0.00381	0.00381	0	0.0152	0	0	0	0	0	0	0.00381	0	0.0
Salana	0.00762	0.0419	0.0114	0.0114	0.019	0.0229	0.0152	0.0229	0.00762	0.0152	0.0305	0.00762	0.0114	0.00762	0.00762	0.00381	0.00381	0.0152	0.00381	0.0114	0.00762	0.0114	0.00762	0.0267	0.0267	0.00762	0.0267	0.00762	0.0267	0	0.00762	0.0305	0	0.019	0.0152	0	0.00381	0.00381	0.0838	0.0
Williamsia	0	0.00381	0	0	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0.00762	0.00762	0	0	0	0	0	0	0	0	0	0	0	0.0
Roseimaritima	0.00762	0.0267	0.019	0.0495	0.0229	0.0114	0	0.0152	0	0.0114	0.00381	0	0.0114	0	0.00762	0.00381	0.0381	0.0229	0.0114	0.0152	0.0381	0.0343	0.0343	0.0229	0.0114	0.0114	0	0.0114	0.0152	0.0229	0.0152	0	0	0	0	0	0	0	0	0.0
Rubidimonas	0.00381	0.0114	0.0114	0.00381	0	0	0.00381	0	0	0.00762	0.00381	0.00381	0.0152	0.00762	0.0114	0.00762	0.0114	0.00381	0.00381	0.00381	0.00381	0.00381	0.0114	0.00381	0.00762	0.00381	0	0.00762	0	0	0.0114	0	0	0.0152	0.019	0	0	0.00381	0	0.0
Salinibacterium	0.0267	0.0114	0.0305	0.019	0.0152	0.00381	0.0152	0	0.0114	0.0305	0	0.00762	0.00762	0.0114	0.0114	0.00381	0.0267	0.0152	0.0114	0.0343	0.0267	0.0152	0.0229	0.0152	0.0152	0.00762	0.0267	0.019	0.019	0.00762	0.0152	0	0.0343	0.0114	0.0305	0.0114	0	0.0114	0.00381	0.0
Serratia	0.00762	0.00381	0.019	0.00762	0.00381	0	0.00381	0.00381	0	0.0114	0	0	0	0	0	0	0	0	0.00762	0	0.00381	0	0	0	0.00381	0.0152	0	0.00381	0.00762	0	0	0.0152	0	0.00381	0.0114	0	0.206	0.00381	0.00381	0.0
Shewanella	0.00381	0.00762	0.00762	0	0	0.0229	0.00762	0.00381	0	0	0.00381	0.019	0.0114	0	0.00381	0	0	0	0	0	0	0	0	0	0	0.00381	0.00381	0.00381	0	0	0	0	0	0	0	0	0	0	0	0.0
Sandarakinorhabdus	0	0.019	0	0.0267	0.0114	0.00381	0.0152	0	0	0.0114	0.00381	0	0	0	0	0	0	0	0	0.0152	0	0	0	0.019	0.0152	0.00381	0	0.0114	0.0114	0	0	0	0	0	0	0	0	0	0	0.0
Salinimicrobium	0.00381	0	0	0.00381	0	0	0.00381	0.00381	0.019	0.00381	0	0.00762	0.00762	0.00381	0	0.00381	0.00381	0	0	0	0	0	0.0152	0	0	0	0	0	0.00762	0	0.00381	0	0	0	0	0	0	0	0	0.0
Sandaracinus	0	0	0	0	0	0	0	0	0	0.00762	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00762	0	0	0.00381	0	0	0	0	0	0.00762	0.00381	0	0.019	0	0	0.00381	0.0
Dokdonella	0	0.00381	0.00762	0	0	0.00381	0	0	0.00381	0	0.00381	0	0	0	0	0	0	0.00381	0	0.00381	0.00381	0	0.00381	0.00381	0	0	0.00762	0	0.00762	0	0	0.00381	0	0	0	0	0.00381	0	0.00381	0.0
Desertibacter	0	0.0305	0.00381	0.00762	0.00762	0	0.00381	0.00762	0.00381	0.00762	0	0	0	0	0	0	0	0	0	0.0114	0	0	0	0.00381	0.00381	0	0.00762	0.00762	0.00381	0.00381	0	0.0152	0	0.0343	0.0152	0	0.00381	0	0.0114	0.0
Dongia	0.00762	0.00381	0	0	0	0.00381	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0	0	0	0.00762	0.00381	0	0	0	0.0114	0.0114	0.0114	0.00381	0.00381	0.0229	0.0152	0.00381	0.0
Epilithonimonas	0	0.00762	0.00381	0.00762	0.0152	0.0114	0.0267	0.0152	0.0229	0.00762	0.0419	0.0229	0.0152	0.00381	0.00762	0	0.0152	0	0.00381	0.00381	0.0914	0	0.00381	0.0152	0.0229	0.00762	0.0114	0.0152	0.00762	0	0	0	0	0	0	0	0	0	0	0.0
Duganella	0.00381	0.0838	0	0	0	0	0	0.00381	0	0.0152	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0.00762	0.00381	0	0.00381	0	0	0	0	0	0	0	0	0	0	0.0
Corallococcus	0	0.00381	0.00762	0.00762	0	0.0114	0.00762	0.00381	0.00762	0.00381	0	0	0	0	0.00381	0	0	0	0	0.00381	0	0.00381	0	0.0114	0.00381	0.00381	0	0.0152	0.00381	0	0	0	0	0	0	0.0114	0.00381	0	0	0.0
Conexibacter	0.00762	0	0.00381	0.00381	0.00381	0	0	0.00381	0	0.0152	0.00381	0	0	0.00381	0.00381	0	0	0	0	0.00381	0	0	0	0.00381	0.00381	0.00381	0	0.00381	0.00381	0	0	0.00381	0	0.00381	0.00381	0.00762	0	0	0	0.0
Crocinitomix	0.0229	0.00381	0.00381	0.00762	0.0114	0.00762	0	0.00381	0	0.00762	0	0	0	0	0	0	0	0	0	0.0152	0	0	0	0	0.00762	0.0114	0.00762	0.00381	0.00762	0	0	0	0	0	0	0	0.00381	0.00762	0	0.0
Desemzia	0.00381	0.00762	0.00381	0.00381	0	0.00381	0.00381	0	0.00381	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0	0.00381	0.0114	0.00381	0	0.0114	0	0	0	0	0	0	0	0	0	0	0.0
Curvibacter	0.019	0.0229	0.0152	0.00381	0.0152	0.00381	0.00762	0.00381	0.00381	0.019	0.00762	0.00381	0	0	0	0.0343	0.019	0.0152	0.0114	0.019	0.0267	0.00381	0.00381	0.00762	0.0152	0.0152	0.0152	0.00381	0.00381	0	0.0114	0.00381	0.00762	0	0	0	0.00762	0.0114	0.0114	0.0
Intestinibacter	0.00762	0	0	0	0.00762	0	0	0	0	0.00381	0.00762	0	0	0	0	0	0	0	0.00381	0	0.00381	0.00381	0.00762	0	0.00381	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Halomonas	0.00762	0.00381	0	0.00381	0.00381	0.00381	0.00381	0.00381	0	0	0	0	0	0	0.00381	0	0	0	0	0.00381	0	0	0	0	0	0	0	0	0.00762	0	0	0	0	0	0	0	0	0.0114	0	0.0
Janibacter	0.0114	0.0571	0.0952	0.0495	0.0648	0.0571	0.0305	0.0724	0.061	0.019	0.0419	0.0381	0.0229	0.0419	0.08	0.0457	0.0267	0.0267	0.0419	0.0343	0.0419	0.0381	0.0762	0.0343	0.00762	0.0343	0.0495	0.0495	0.019	0.0343	0.0457	0.107	0.019	0.297	0.248	0.0114	0.175	0.0229	0.0838	0.0
Jatrophihabitans	0.00762	0.00381	0.00381	0.00381	0.00381	0	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0.00762	0	0	0	0	0.00381	0.00381	0.0152	0.00381	0	0	0	0	0.00381	0	0	0	0	0.00381	0	0.0
Janthinobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0.00381	0	0	0	0	0	0	0	0	0.133	0	0	0.0
Ferrovibrio	0.00762	0.0114	0.00381	0	0.00762	0.00381	0.00381	0.00762	0	0	0	0	0	0	0	0	0	0	0	0.0114	0	0.00381	0	0	0	0	0.00381	0	0	0	0	0.00762	0.00381	0.00381	0	0.00762	0.0152	0	0	0.0
Falsirhodobacter	0	0	0	0	0	0.00381	0	0	0	0.00381	0	0	0	0.00381	0	0	0	0.00381	0	0	0.00381	0	0	0.00762	0	0	0.00381	0.00381	0	0	0	0	0	0	0.00381	0	0	0	0.0305	0.0
Filimonas	0.0152	0	0	0	0	0	0	0	0	0	0.00381	0	0	0.00381	0	0.00381	0	0.00762	0	0	0.00381	0.00381	0.00762	0	0	0	0	0	0	0.00762	0.00381	0.00381	0.00381	0	0.00381	0	0	0.019	0.00381	0.0
Glycomyces	0.0305	0.0495	0.0229	0.00762	0.0229	0.0229	0.0152	0.00762	0.00381	0.0114	0	0.00381	0.00381	0	0	0.00381	0	0	0	0.0457	0	0.00381	0	0.0229	0.0114	0.0229	0.019	0.00762	0.00381	0	0	0	0	0.0152	0.0267	0	0	0.00381	0	0.0
Frigoribacterium	0	0.0114	0.00381	0.0114	0.0114	0.00762	0	0.00381	0	0.00762	0	0	0	0	0	0	0	0	0	0.00762	0	0	0	0	0.00381	0.00762	0.00762	0.00381	0.0114	0	0	0	0	0.00381	0.00381	0	0	0	0.0114	0.0
Bacteriovorax	0.061	0	0	0	0.00381	0	0.00381	0.00381	0.00762	0	0	0.00762	0.0114	0	0	0.0152	0.0152	0.00381	0.00381	0.00762	0.00381	0.0152	0	0	0.00381	0	0	0	0.00381	0.00381	0.0457	0	0	0	0	0	0	0.00381	0	0.0
Azohydromonas	0.0381	0.0571	0.0419	0.0152	0.019	0.0114	0.0305	0.0114	0.0114	0.0152	0.00762	0	0	0.00381	0.00762	0.0114	0.00381	0.00381	0	0.0495	0.00762	0	0	0.0305	0.00381	0.0419	0.0229	0.019	0.0152	0.00381	0.00381	0.0381	0.0343	0.0533	0.061	0.00762	0.0267	0.0152	0.00762	0.0
Belnapia	0	0.00762	0.00762	0.00381	0	0.00381	0.00381	0	0.00381	0.00381	0.00381	0	0	0	0	0	0	0	0.0114	0.00762	0	0	0.00381	0	0.00762	0.00381	0	0.00381	0	0.00381	0	0	0	0.00381	0.00381	0	0	0	0	0.0
Caenimonas	0.0152	0.0229	0.00762	0	0	0.00381	0	0	0.00381	0.0114	0	0	0	0	0	0	0	0	0	0.0229	0.00381	0	0	0.0114	0.00762	0.0114	0	0.00762	0	0	0	0.0152	0.0229	0.019	0.00762	0.0267	0.0114	0.0267	0	0.0
Brochothrix	0	0	0.0114	0	0	0.00762	0.0114	0	0.00381	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0.0305	0.00381	0.00762	0	0	0	0	0	0	0	0	0	0	0	0.0
Actinophytocola	0.019	0.0114	0.0114	0.0152	0.00762	0.00381	0.00762	0	0.00381	0	0	0	0	0	0	0	0	0	0	0.0267	0	0	0	0.0114	0.0152	0	0	0.00762	0.00381	0	0	0.00381	0	0	0	0	0	0.0114	0	0.0
Acidothermus	0	0.0114	0	0	0	0.00381	0	0.00381	0	0.00762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0	0.0114	0.00762	0	0.00381	0	0	0.0
Albidiferax	0.00381	0.00381	0.00381	0.00381	0.00381	0.00381	0.0114	0	0	0.00381	0	0.00381	0	0.00381	0	0	0	0	0	0.0114	0	0	0	0	0.00381	0.00381	0.00381	0	0.00762	0	0	0.00381	0	0	0	0	0	0	0	0.0
Arcicella	0.0114	0	0.00381	0	0	0	0.00381	0	0	0.00381	0	0	0	0.00381	0.00762	0.00381	0.00762	0	0	0	0	0	0	0	0.00381	0.00381	0.00381	0	0.00381	0.00381	0	0.00762	0	0	0	0	0.149	0.122	0.00381	0.0
Aminobacter	0.00381	0.00381	0	0	0	0	0.00762	0.00381	0	0	0.00381	0.00381	0	0.0152	0	0	0.00381	0	0.00381	0	0.00381	0	0.00381	0	0	0.0114	0.00762	0	0	0	0.00381	0	0.0152	0	0	0.00762	0.0152	0	0	0.0
Chryseolinea	0.00762	0.00381	0.00381	0	0.00762	0.00381	0.00381	0.00381	0	0	0	0	0	0.00381	0.00381	0	0	0	0	0	0.00381	0	0	0.0114	0.00381	0.00762	0	0	0.00381	0.00381	0.00762	0.419	0.149	0.118	0.0876	0.0381	0.571	0.145	0.019	0.0
Cesiribacter	0.0114	0	0	0	0	0.0114	0.00381	0.0114	0.00381	0.00381	0	0.00381	0.00381	0.00762	0	0.00381	0.0229	0.0114	0	0	0.00381	0	0	0.00762	0.00762	0.00381	0.0114	0.00381	0.00381	0.00381	0.00381	0	0	0	0	0	0	0	0	0.0
Chryseomicrobium	0.00762	0.0152	0.0229	0.0343	0.0229	0.019	0.0381	0.0152	0.0152	0	0.0495	0.0686	0.0152	0.11	0.0457	0.0114	0	0.0305	0.00762	0	0.0152	0.0343	0.0267	0.00762	0.00381	0.0114	0.019	0.0343	0.019	0.00762	0	0.00762	0	0	0	0	0	0	0.0114	0.0
Cohnella	0.0419	0.00381	0.0229	0.0152	0.0229	0.00762	0.0114	0.0305	0.00762	0.0114	0.0495	0.168	0.575	0.789	0.225	0.126	0.206	0.145	0.206	0.0152	0.0419	0.305	0.0876	0.0229	0.0114	0.0114	0.0229	0.019	0.0114	0.0114	0.0267	0.00762	0.00762	0.00762	0.0114	0.00381	0.00762	0.00762	0.00381	0.0
Chthonomonas	0.00381	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00762	0	0	0	0.00762	0	0.00381	0	0	0	0	0	0.00381	0	0.0152	0	0.00762	0	0.00381	0	0.0
Candidatus_Limnoluna	0	0	0.00381	0	0	0	0	0.0114	0	0.0114	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0.00762	0	0	0.00381	0.00381	0	0	0	0	0	0	0	0	0	0	0	0.0
Candidatus_Aquirestis	0.0114	0.0914	0.0457	0.0571	0.0457	0.0457	0.08	0.0381	0.0381	0.0876	0.0152	0.0229	0	0	0	0.00381	0	0.00762	0	0.0419	0.00381	0	0.00381	0.0686	0.0419	0.0343	0.0381	0.0686	0.0648	0	0	0.00381	0	0	0	0	0	0	0	0.0
Candidatus_Nitrosoarchaeum	0.0381	0.00762	0.00381	0	0	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0.00381	0.0114	0	0	0	0.00381	0.00762	0	0.00381	0.00381	0	0	0	0	0	0	0	0	0	0	0	0.0
Carnobacterium	0.019	0	0	0.00762	0.019	0.019	0.00762	0.00762	0.00762	0	0.00381	0	0	0	0	0	0.00381	0	0	0.0114	0	0	0.0114	0	0.0152	0.0229	0.0114	0.0114	0.0267	0	0	0	0	0	0	0	0	0	0.0114	0.0
Candidatus_Planktophila	0	0.00381	0	0.00762	0.00381	0	0	0.00762	0	0.019	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0.00762	0	0.0114	0	0.00381	0.00381	0	0	0	0	0	0	0	0	0	0	0.0
Kitasatospora	0.0114	0.0152	0.0152	0.019	0.0114	0.00381	0.019	0	0.00381	0.0267	0	0	0	0	0	0.00381	0	0.00381	0	0.0152	0	0.00762	0	0.0152	0.0114	0.0229	0.00762	0.00762	0.0152	0	0	0.00762	0	0	0.0152	0.0229	0	0.00762	0.00762	0.0
Paenisporosarcina	0.00381	0	0.00762	0.019	0.019	0	0	0.00762	0.00381	0.00381	0.0114	0.00381	0.00381	0.00762	0.0114	0	0	0.00381	0	0.00381	0	0	0.00381	0.00762	0.00762	0	0.0114	0.0267	0.00762	0	0	0	0	0.00381	0.00381	0	0	0.00381	0.0686	0.0
Owenweeksia	0	0.0381	0.00381	0.019	0.0152	0.0152	0.00381	0.00381	0.00762	0.0114	0.00762	0.00381	0	0	0	0	0	0	0	0.0267	0	0	0	0.00762	0.0114	0.00762	0.0152	0.00762	0	0	0	0	0	0	0	0	0	0	0	0.0
Panacagrimonas	0.00381	0.00762	0	0.00381	0	0	0.00762	0	0	0	0	0	0	0	0	0.00381	0	0	0	0.00381	0	0.00762	0	0	0.00381	0.00381	0	0	0.00381	0	0.00381	0.00381	0	0.00381	0	0	0	0.0495	0	0.0
Parvularcula	0.00381	0.00762	0	0	0	0	0	0	0	0.00381	0	0	0	0	0	0	0.00381	0	0	0	0	0	0.00381	0.00381	0.00381	0.00762	0.00381	0.00381	0.00762	0	0	0.0343	0	0.0305	0.0305	0	0.0114	0.0838	0.0229	0.0
Parapusillimonas	0.00762	0.00381	0	0	0	0	0.00381	0	0.0114	0	0.00762	0.00762	0.0457	0.274	0.305	0.152	0.171	0.0952	0.0952	0.00762	0.362	0.343	0.648	0.00762	0.00381	0	0.00381	0	0.00381	0.107	0.0571	0.00381	0.00381	0	0.0152	0	0	0	0	0.0
Nocardiopsis	0.00762	0.00762	0.0114	0.019	0.00762	0	0.00762	0	0.0114	0.0152	0.00381	0	0	0	0	0.00381	0	0	0.00381	0.00762	0	0	0	0.00381	0.00762	0.00381	0.0114	0.00381	0.0114	0	0	0.00381	0	0	0.0229	0	0	0	0	0.0
Nitrolancea	0.00381	0.0114	0.00381	0	0	0	0	0.00762	0	0.00762	0.00762	0	0	0	0	0	0	0	0	0.00762	0	0	0.00381	0.00381	0	0	0	0	0	0	0	0.00762	0.00762	0.00381	0	0	0	0.0152	0.00381	0.0
Oceanobacillus	0	0.00381	0.0114	0	0	0.00381	0	0	0.00762	0.00381	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0.00381	0	0	0	0.00381	0.00762	0.0114	0	0	0	0.00762	0.00762	0.0
Ornithinicoccus	0	0.00381	0	0	0.00381	0.00381	0.0114	0	0	0.00381	0.00381	0.00381	0	0	0.00381	0	0.00381	0	0.00381	0	0	0	0	0.019	0.00381	0	0.00762	0.00381	0.00762	0	0	0	0	0	0	0	0	0.00381	0	0.0
Ornatilinea	0.00381	0	0	0.00381	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0	0	0	0	0.00381	0	0	0	0.00381	0.019	0	0	0.0114	0.00381	0.00381	0	0.0
Prosthecomicrobium	0	0.00381	0	0	0	0	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0	0	0.00381	0.00381	0	0.00381	0	0	0.0229	0	0.0152	0.0229	0	0.0267	0.00762	0.00762	0.0
