Genus	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
Nitrospira	0.164	0.103	0.0914	0.0267	0.0571	0.0419	0.0267	0.0419	0.0229	0.122	0	0.0114	0.00381	0.00381	0.0114	0.00381	0.0152	0	0	0.0952	0.0152	0	0.00762	0.118	0.0876	0.0533	0.0457	0.0381	0.0533	0.00762	0.0152	0.499	0.792	0.377	0.301	0.385	0.11	1.08	0.0419	0.3
Microbacterium	0.377	1.3	1.25	1.32	1.23	1.23	0.972	1.07	1.04	0.85	1.34	1.15	1.05	1.33	1.08	1.22	0.747	0.892	0.838	1.1	1.25	0.899	1.54	1.18	0.964	1.08	1.23	0.937	1.13	1.31	0.892	0.259	0.171	0.446	0.461	0.0762	0.446	0.415	0.747	0.3
Mycobacterium	0.0952	0.114	0.133	0.152	0.0914	0.08	0.0419	0.061	0.0762	0.118	0.061	0.0152	0.0229	0.0457	0.061	0.0762	0.0495	0.0533	0.0381	0.0952	0.0343	0.061	0.0724	0.0876	0.0991	0.156	0.137	0.0724	0.0686	0.0495	0.0495	0.0495	0.0152	0.0457	0.061	0.0381	0.0838	0.232	0.0419	0.3
Nibribacter	0.64	0.274	0.385	0.362	0.248	0.335	0.423	0.282	0.358	0.179	0.373	0.263	0.0571	0.0648	0.0991	0.0571	0.0571	0.118	0.0343	0.21	0.0876	0.0381	0.114	0.278	0.32	0.377	0.263	0.271	0.194	0.0152	0.0381	0.171	0	0.118	0.0495	0.00762	0.00381	0.00762	0.0152	0.3
Herpetosiphon	0.107	0.0876	0.0457	0.0419	0.0229	0.0419	0.0343	0.0114	0.00381	0.0381	0.019	0.0343	0.00762	0.0152	0.019	0.019	0.0381	0.0571	0.118	0.0343	0.0876	0.404	0.118	0.0571	0.0419	0.0495	0.0533	0.0305	0.0343	0.0571	0.0571	0.0495	0.061	0.0571	0.0876	0	0.0152	0.0914	0.0343	0.3
Variibacter	0.0876	0.137	0.0533	0.019	0.0495	0.0381	0.0495	0.0343	0.0152	0.0686	0.00762	0	0.00381	0.00381	0.00762	0.0114	0.019	0.0229	0.0114	0.0419	0.019	0.00762	0.019	0.08	0.0305	0.0495	0.0457	0.0343	0.0343	0.019	0.0114	0.316	0.331	0.107	0.156	0.164	0.328	0.396	0.0381	0.2
Gaiella	0.0495	0.183	0.0762	0.0648	0.0533	0.0533	0.0229	0.0343	0.0152	0.0991	0.00381	0.0152	0.00381	0	0.0152	0	0	0	0.0114	0.156	0.00381	0.00381	0.00381	0.0914	0.103	0.0762	0.114	0.0648	0.0876	0	0	0.0533	0.0686	0.118	0.0914	0.0533	0.00381	0.0457	0.0152	0.2
Mesorhizobium	0.0571	0.118	0.145	0.0533	0.0457	0.0724	0.0305	0.0419	0.0305	0.0648	0.0381	0.0381	0.0229	0.0648	0.0838	0.156	0.164	0.152	0.225	0.0991	0.198	0.229	0.19	0.11	0.08	0.0686	0.061	0.061	0.08	0.0952	0.16	0.0952	0.194	0.114	0.0762	0.107	0.141	0.0876	0.00762	0.2
Terrimonas	0.354	0.13	0.0381	0.0229	0.019	0.0457	0.0533	0.0343	0.0152	0.0876	0.00762	0.00762	0.00762	0.0229	0.0343	0.0838	0.0991	0.08	0.08	0.0762	0.0876	0.0838	0.0571	0.0686	0.0724	0.0724	0.0533	0.0533	0.0343	0.0267	0.0229	0.819	0.583	0.217	0.225	0.0686	0.571	1.51	0.0876	0.2
Pedomicrobium	0.0876	0.103	0.0952	0.0267	0.0419	0.061	0.0305	0.0152	0.019	0.0724	0.019	0.00762	0.0114	0.0152	0.0152	0.0229	0.0114	0.0152	0.0267	0.103	0.0229	0.019	0.019	0.0686	0.0724	0.0762	0.0495	0.0495	0.0305	0.0114	0.00762	0.141	0.255	0.19	0.145	0.133	0.11	0.194	0.0152	0.2
Ohtaekwangia	0.21	0.0533	0.0381	0.019	0.0114	0.019	0.0152	0.0114	0.0114	0.0495	0.00762	0.00381	0.0114	0.0267	0.00762	0.00762	0.0114	0.0381	0.0114	0.0533	0.019	0.0495	0.0457	0.0343	0.0495	0.0457	0.0229	0.0305	0.019	0.00762	0.0152	0.221	0.251	0.16	0.0724	0.152	0.579	0.392	0.0381	0.2
Gemmatimonas	0.126	0.137	0.0762	0.0648	0.0571	0.061	0.0648	0.061	0.0229	0.118	0.0229	0.0495	0.0343	0.0419	0.0533	0.0533	0.0571	0.0762	0.0381	0.122	0.122	0.114	0.0571	0.103	0.0686	0.061	0.0686	0.08	0.0381	0.0229	0.0457	0.00381	0	0.00762	0.019	0.00381	0	0.0457	0.0114	0.2
Cellvibrio	0.701	0.488	0.362	0.19	0.244	0.171	0.206	0.183	0.103	0.271	0.312	0.819	0.701	1.15	1.57	3.78	5.28	4.04	2.6	0.293	5.68	2.66	4.53	0.335	0.267	0.293	0.278	0.141	0.309	1.12	1.19	0.0267	0.0381	0.019	0.0267	0.0381	0.0343	0.0114	0.0343	0.2
Phenylobacterium	0.0571	0.0419	0.0229	0.0419	0.0229	0.0533	0.0381	0.00381	0.019	0.0419	0	0.00762	0.0305	0.0267	0.0381	0.0457	0.0381	0.061	0.0724	0.0533	0.0571	0.0724	0.0267	0.061	0.0381	0.0305	0.0343	0.0267	0.019	0.0381	0.0457	0.0381	0.0495	0.0571	0.0419	0.0495	0.11	0.0267	0	0.2
Altererythrobacter	0.141	0.221	0.179	0.133	0.133	0.107	0.114	0.11	0.0876	0.156	0.0914	0.0952	0.103	0.271	0.255	0.255	0.221	0.244	0.16	0.328	0.118	0.145	0.0914	0.171	0.107	0.149	0.114	0.13	0.152	0.0648	0.0838	0.126	0.114	0.141	0.0762	0.0914	0.0762	0.061	0.0495	0.2
