Class	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SST	SST	SST	SST	SST	SST	SST	SST	SSF	SST	SST	SST	SSF	SSF	SSF	SSF	SSF	SSF	SSP	SSP	SSP	SSP	SSP	SSP	SSP	SSP	SSP	SSP	SSP
k__Fungi|p__Ascomycota|c__Sordariomycetes	0.281173848749297	0.540226063829787	0.249351074049094	0.200044908040581	0.253953834083495	0.219205987201913	0.475866757307954	0.292446177458829	0.100051046452272	0.276726488422252	0.00327471591839408	0.839781285463737	0.306685328503211	0.737009434546543	0.44185042849216	0.022728211909583	0.114068441064639	0.0101760455886842	0.0266934970534486	0.053843605036448	0.0265701964150673	0.121943657896369	0.197267029692798	0.065865305450354	0.0142962176292787	0.345808352601747	0.256647593402895	0.145715751667522	0.381631631631632	0.189063408958697	0.0801759759883231	0.276877640592313	0.010518122725456	0.0102739022335463	8.4506751028679	6.44068488398196	0.289271789711986	3.86091668548205	3.16125708397733	0.775242263207252	1.23459343204566	2.0895395352796	0.861186011998077
k__Fungi|p__Ascomycota|c__Unassigned	0.0479036927498802	0.101811835106383	0.302491466879228	1.85755986037682	1.5010116860057	0.617762327569028	1.32047875079826	0.491558468494628	0.406329760081674	0.612460830993367	0	1.25038687712782	0.512514408035567	0.796878548277215	4.54181138124499	0.828546634158436	0.787917194761301	0.449781215019843	1.37163507936182	0.476308813783963	2.86958121282727	0.388566231940971	0.0924689201684989	1.08471924913552	0.312474471039948	1.10699596897956	0.292409962975429	0.131349409953822	4.89030697364031	0.698080279232112	3.56885882860843	0.56606095409984	0	0.0513695111677317	0.444554721584683	0.683659517152711	0.00209617238921729	1.53738787741949	1.93508500772798	0.00416796915702824	0.00413599139713789	0.12767044003745	0.0397148889028239
k__Fungi|p__Basidiomycota|c__Tremellomycetes	14.0857684377148	17.1230884308511	15.0285118646146	14.4848843617955	19.4656646157658	12.6453069990922	18.3342603464969	10.3082092338325	17.7968351199592	13.6206405404306	0.039296591020729	18.8218301867327	18.3043800428124	17.8368669873449	16.4080642840995	12.678209843382	5.02957329953528	6.49231708558054	1.54206279131845	2.69632206759443	2.25233511149263	6.92391955852262	23.2405219356827	2.08504857566277	0.465648231353648	2.87696179738495	23.1130090878492	22.6741918932786	19.0044210877544	14.9941826643397	22.8953806303065	15.7204971491858	4.82571470643919	6.71502249984589	58.0154250149908	67.6067835350299	4.17976774409927	52.5257086557606	42.9489953632148	1.24205480879441	11.3719083464306	9.69231423950975	39.2445810079221
k__Fungi|p__Chytridiomycota|c__Spizellomycetes	0	0	0.0102193063134874	0.00204127457184266	0.00412933063550399	0.00221420189092841	0.0185402632717385	0	0.287901990811639	0	0	0.0165067574538327	0	0.00206445219760936	0	0	0.00211237853823405	0.00203520911773685	9.0798956900269	0.00828363154406892	0.00204386126269749	0	0	0.047340688292442	0.00204231680418266	0	0.00420733759676876	0.0266803488968702	0.00417083750417084	0.018698578908003	0	0.0123056729152139	0	0	0	0.00204077467806779	0	0	0.00412158681092221	0	0	0.00212784066729083	0.00209025731067494
k__Fungi|p__Rozellomycota|c__Unassigned	0.0124966154999688	0.0477892287234043	0	0.0102063728592133	0.0289053144485279	0.0575692491641388	0.0267803802814	0	0	0	0	0	0	0	0.0945354405146016	0	0.0971694127587664	0.00203520911773685	0	0.00207090788601723	0.00204386126269749	0.00413368331852097	0.00410972978526662	0	0.00204231680418266	0	0.0294513631773814	0.0472036942021549	0	0.051940496966675	0.0904549472688773	0.0287132368021658	0.00210362454509119	0	0	0.00204077467806779	0	0.0041051745725487	0.00412158681092221	0	0.00413599139713789	4.35781768661163	0.00627077193202483
k__Fungi|p__Unassigned|c__Unassigned	38.3167058921542	35.4429853723404	24.4486684243874	40.4948049562147	33.375314861461	22.3545822908133	29.2359351502791	24.1071058198863	26.8790199081164	28.5353843649534	0.317647444084226	35.3223976065202	25.0576321422691	27.3374760007432	26.4267658603753	4.74606388693748	4.78242501056189	9.98677114073471	17.4246935381204	4.02170311464546	2.63249330635436	10.687638220036	39.2561389088667	15.8159064712663	4.30111918960869	13.4190010435637	32.6110737125547	28.6013340174448	34.9140807474141	23.7970580902518	25.4692350389573	22.7716477296033	7.44262364053264	11.4944418188917	23.9294501995327	18.8465541519561	56.521192302855	28.5453313902174	33.2282328696548	54.6379076794832	55.7097361237489	51.5916248191335	49.2673648126084
k__Spike|p__Spike|c__Spike	16.9870660029575	31.9398271276596	52.7827171091626	26.0752413807181	31.2198042697279	39.2312291034697	40.3188925282739	57.6450823412287	43.3690658499234	48.0446017987222	98.4445099387628	34.4186526359228	46.2374444261485	46.1198620945932	45.9195626708317	78.2676970122732	84.9133924799324	77.2809606187036	66.1526457362272	89.0801027170312	89.723465571157	76.4070024595416	23.575464913182	75.9756298369834	90.0416632628053	71.6171144441489	30.6883204308314	36.9522832221652	29.9153319986653	52.9502202277071	37.8965113171474	51.1998031092334	78.4273302900898	73.5631947726385	1.48874139321382	1.16120079182058	26.1770007965455	3.88965290748989	8.31117980422463	38.966343649057	0.533542890230788	9.25610690271512	3.6621308083025
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales	0.060400308249849	0.384391622340426	0.0592719766182272	0.242911674049276	0.179625882644423	0.0686402586187809	0.216303071503615	0.0518521591239059	0.310362429811128	0.0712163756969031	0	0.319818425668008	0.0288160711345299	0.19405850657528	0.0760393760660926	0.0247944129922724	0.00211237853823405	0.00203520911773685	0	0.0331345261762757	0	0.272823099022384	0.314394328572896	0	0	0	0.227196230225513	0.176500769625449	0.248164831498165	0.147511011385357	0.0637296219394363	0.112802001722794	0	0	0.153009532080309	0.126528030040203	0	0.426938155545065	0.304997424008243	0.00625195373554236	0.00413599139713789	0.0553238573495617	0.0209025731067494
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales	0.0916418469997709	0.0436336436170213	0.0694912829317146	0.0142889220028986	0.12387991906512	0	0.0123601755144923	0	0	0	0	0.00206334468172908	0.0164663263625885	0	0	0.0061986032480681	0.0042247570764681	0.0122112547064211	0.00616003778156506	0.00414181577203446	0	0.00413368331852097	0.160279461625398	0.00411658159064713	0.00204231680418266	0.00204620326983283	0.0904577583305284	0	0.198114781448115	0.018698578908003	0.0698970047077688	0.0574264736043316	0.00210362454509119	0.00205478044670927	0.270868225709737	0.279586130895288	0.0545004821196495	1.10839713458815	0.614116434827409	0.0625195373554236	13.7397634212921	0.0319176100093625	0.0104512865533747
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales	12.9173348884677	1.05551861702128	0.329061663294296	1.2247647431056	0.701986208035677	0.183778756947058	0.739550501617123	0.253038536524661	0.490045941807044	0.256378952508851	0	0.13411740431239	0.62366211098304	0.187865149982452	0.0719291395219795	0.0123972064961362	0.0739332488381918	0.0569858552966317	0.00821338370875341	0.101474486414844	0.0592719766182272	0.0351363082074282	1.28429055789582	0.0391075251111477	0.0285924352585573	0.0695709111743161	0.860400538539212	0.796305797845049	0.886302969636303	0.243081525804039	0.281643813087186	0.498379753066164	0.0778341081683741	0	0	0	0	0	0	0	0	0	0
