Class	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT
k__Bacteria|p__Verrucomicrobia	0.581461311549807	0.238198983297022	0.11812135685489	0.0892446656029424	0.0766891445193706	0.103632450243138	0.131932815750748	0.149480555071128	0.136145467971202	0.13259728310873	0.086752398448663	0.115497690046199	1.33458828072208	2.56037241780623	3.18146794919593	4.11609884486036	3.81031113783256	3.46120848143155	3.05894572838224	0.167405797527093	2.18974179854375	1.24947829716194	0.7704774965715	0.211344033815045	0.154575982090507	0.18884942781442	0.078924450250381	0.0688340569734195	0.0592966896978447	2.45687401986409	1.78266438941076	0.0131669903551796	0.0963423142088303	0.024865500248655	0.0259425804219993	0.0359572937987498	0.286135959760248	0.0533394292681068	0.0164338537387017
k__Spike|p__Spike	0.10211027910143	0.981844589687727	0.511003261176591	0.57873813451605	0.507735025783419	0.480960858820716	0.847414624245192	1.22324920899873	3.38286874653867	1.11760567191644	0.301081853439477	0.251994960100798	0.72400810889082	0.88012801862089	0.904729948052594	0.626309889360043	0.62127361090235	0.948645667361196	0.618021293170605	0.511028224030074	0.325102770090545	0.639085976627713	0.895150230644558	0.871080139372822	0.599648206385587	0.543999098032584	0.639560200304812	0.465953616435455	0.598123130865216	0.297961317302666	0.234842015371477	0.177754369794924	0.504966612404903	0.70075500700755	0.723509742880203	1.72871604801682	0.0391554471250866	0.171448165504629	0.109559024924678
k__Archaea|p__Thaumarchaeota|c__Soil_Crenarchaeotic_Group[SCG]	2.8477422282732	0.877269426289034	0.63939604036669	0.486789085106958	0.372867909559699	0.467674647251083	0.324757700309535	0.298961110142256	0.343824995384899	0.603452941494831	0.132680138803837	0.0761234775304494	0.0265469639926634	0.0290951411114344	0.0521959585414958	0.0414290588292635	0.0475975750288091	0.0392204927074396	0.0389509218384835	1.12484948162942	0.0725435933259894	0.0834724540901502	0.117192370028675	0.853944136631062	0.895474654869143	0.890692823721743	0.519812758545613	0.383882240813301	0.438279880375374	0.0627286983795086	0.0426985482493595	9.20043451068172	3.37198099730906	3.74564853745649	6.32710711403205	7.6893289815788	1.39453630914731	8.88101497313979	1.33935907970419
k__Bacteria|p__Actinobacteria|c__Actinobacteria	6.41876560018153	12.0319535221496	14.5854197159952	13.8897152283852	13.0159989422187	13.4775330162357	11.272644238088	10.6903510301702	13.5130145837179	9.91773556313254	15.4878546642172	13.4869802603948	5.86446568201564	7.70293860925225	6.61645912559342	5.50275381391042	3.7351570719976	5.06189484005393	4.178135549208	11.4922611530441	5.3655391063704	5.07877712854758	8.9116070315422	12.4607299937168	11.6944725760887	12.3372230678167	13.1586109296756	12.583395107487	13.1612869959781	8.05279665446942	6.2686806148591	14.7305704598571	9.09272117205408	18.707898187079	16.415888389254	9.77761796758312	23.3486943164363	6.53789004457652	13.8208709942482
k__Bacteria|p__Bacteroidetes|c__Cytophagia	2.60664851372816	1.17647058823529	1.31987777007421	1.35489628688103	1.33280444268148	1.34722185316079	2.00436393159791	1.74393980916316	3.30671958648699	1.23667262001407	4.70759338640539	5.44676606467871	10.2857418669756	9.79778876927553	8.45823080555763	8.66354730223717	6.32296207224811	8.58928790292928	4.54946767073487	0.978002290816177	7.87501007549907	6.27086811352254	5.0018700910111	0.933912149425944	0.756889291615585	1.0908168442415	1.06684084476377	1.24695541671079	1.16530885840982	2.27130162049137	4.13375320239112	0.177754369794924	0.0631208265506129	0.246394502463945	0.227718205926438	0.0276594567682691	0.0421674045962471	0.251457309406789	1.08737332237743
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.553097345132743	0.403776325344953	0.256785558380197	0.516537306974606	0.547401824672749	0.762628544096936	1.078297051809	0.817160367722165	1.1007014952926	0.202955025166423	0.829250867523985	1.09722805543889	1.72555265952312	2.07545339928232	2.8260383267467	2.87079007652191	2.06673681046145	1.65461453609511	2.31628148532849	0.296631325442744	0.768424729304925	2.07637729549249	0.760503677845655	0.317016050722568	0.343798304994403	0.355149670218163	0.274874809492706	0.362702530975326	0.399608126224606	9.23157344485102	2.56991887275833	0.0362092234767438	0.0265771901265739	0.00904200009042	0.0172950536146662	0.00829783703048072	0.018071744826963	0.0838191031355965	1.15036976170912
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	2.10176991150442	1.31009440813362	0.937267288087718	1.173702571869	1.19264841993918	1.39239497249754	1.69990358755772	1.75888786467027	2.8152113716079	0.644043946528116	2.31679934680547	2.92944141117178	4.95945554590211	6.28939967025507	7.384485372704	7.31344738509529	9.26148604639511	9.03296972668219	5.44533887302	1.07198449293665	6.54504419785593	4.76575542570952	7.73220296721107	0.913920146227223	1.19929641277117	1.09363549241784	0.846396690616155	1.16753150481838	0.925543982675054	5.13852587558808	5.58550384286934	0.121794660785411	0.0431879339556825	0.15823500158235	0.184480571889773	0.0331913481219229	0.0391554471250866	0.377185964110184	0.531361270884689
k__Bacteria|p__Chloroflexi|c__KD4-96	0.121965055593374	0.473493100944081	0.220835580206969	0.186602482624334	0.142800476001587	0.220551112055908	0.116709798548739	0.114601758887865	0.0415359054827395	0.246252097201927	0.0127577056542151	0.0472490550188996	0.0072400810889082	0.0121229754630977	0.00994208734123729	0.00974801384217966	0.0125256776391603	0.0196102463537198	0.0103869124902623	0.296631325442744	0.00537359950562885	0.0182595993322204	0.0274280014960728	0.257040041126407	0.197217632322371	0.273408873104459	0.217722621380361	0.137668113946839	0.154687016603073	0.01829587036069	0.00533731853116994	0.167879127028539	0.534865951297299	0.400108504001085	0.351666090164879	0.295956187420479	0.0481913195385681	0.179068083971502	0.0191728293618187
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	0.113455865668255	0.046477850399419	0.0462214005084354	0.0432701408983963	0.0581779717043501	0.0531448462785321	0.0482062211396966	0.0647749071974887	0.108454864316042	0.0351788710288467	0.145437844458053	0.102372952540949	0.35959069408244	0.56977984676559	0.392712449978873	0.360676512160647	0.220451926449221	0.463292070106631	0.425863412100753	0.0411172134277071	0.317042370832102	0.586915692821369	0.688193492083281	0.0542640086822414	0.058632269068813	0.0704662044083657	0.0435445242760723	0.0661865932436726	0.0386717541507683	0.198640878201777	0.240179333902647	0.0329174758879489	0.00332214876582173	0.092680500926805	0.057650178715554	0	0.00903587241348152	0.0990589400693413	0.268419611065462
k__Bacteria|p__Firmicutes|c__Bacilli	4.73394599500794	8.1278140885984	10.1507331227692	11.1204262108878	10.985058839085	10.4323333244759	9.04247221799361	9.67886594085553	8.88176112239247	9.89879309411701	9.02224943866095	6.48887022259555	0.383724297712134	0.691009601396567	0.651206720851043	0.594628844372959	0.448419259481938	0.664297095232259	0.602440924435212	7.53913477635173	0.832907923372471	0.683430717863105	1.48859244483232	11.2583538013366	13.4187943073397	12.263938215232	14.5547572392772	14.4922164566345	14.4735485201609	2.38630423418714	2.55123825789923	5.52684420158662	1.67768512673998	4.86007504860075	3.99227487605212	1.2751009570172	0.114454383904099	1.93926924981903	27.4144070117776
